1059194685	20120820	201208	2012	2012.6301	USA	IDAHO	USA								USACVL	UNITED STATES	USA					CVL			1	080	080	08	2	5.0	4	1	4	0.156985871271585	2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20220818181500	https://www.rexburgstandardjournal.com/news/idaho/idaho-s-demographics-changing-at-unprecedented-rates-u-of-i-analysis-finds/article_5778ae7c-75fe-52d5-a426-52eb8d9af529.html
1059194686	20210818	202108	2021	2021.6247											DEU	GERMANY	DEU								1	031	031	03	1	5.2	4	1	4	0	0								4	Falken, Sachsen, Germany	GM	GM13	16559	50.85	12.7	-1768619	4	Falken, Sachsen, Germany	GM	GM13	16559	50.85	12.7	-1768619	20220818181500	http://www.msn.com/en-us/autos/other/lamborghini-definitely-won-t-play-a-fake-v10-sound-new-cto-promises/ar-AA10NS1W
1059194687	20210818	202108	2021	2021.6247	DEU	GERMANY	DEU																		1	031	031	03	1	5.2	4	1	4	0	4	Falken, Sachsen, Germany	GM	GM13	16559	50.85	12.7	-1768619	0								4	Falken, Sachsen, Germany	GM	GM13	16559	50.85	12.7	-1768619	20220818181500	http://www.msn.com/en-us/autos/other/lamborghini-definitely-won-t-play-a-fake-v10-sound-new-cto-promises/ar-AA10NS1W
1059194688	20210818	202108	2021	2021.6247	EDU	STUDENT						EDU			GBR	UNITED KINGDOM	GBR								1	090	090	09	2	-2.0	2	1	2	0.30864197530865	4	Southport, Sefton, United Kingdom	UK	UKL8	40121	53.6667	-3	-2608309	4	Southport, Sefton, United Kingdom	UK	UKL8	40121	53.6667	-3	-2608309	4	Southport, Sefton, United Kingdom	UK	UKL8	40121	53.6667	-3	-2608309	20220818181500	https://www.liverpoolecho.co.uk/news/liverpool-news/teen-worked-three-bar-jobs-24793029
1059194689	20210818	202108	2021	2021.6247	EDU	STUDENT						EDU			GOVEDU	EDUCATION SECRETARY						GOV	EDU		1	090	090	09	2	-2.0	8	1	8	0.30864197530865	4	Southport, Sefton, United Kingdom	UK	UKL8	40121	53.6667	-3	-2608309	4	Southport, Sefton, United Kingdom	UK	UKL8	40121	53.6667	-3	-2608309	4	Southport, Sefton, United Kingdom	UK	UKL8	40121	53.6667	-3	-2608309	20220818181500	https://www.liverpoolecho.co.uk/news/liverpool-news/teen-worked-three-bar-jobs-24793029
1059194690	20210818	202108	2021	2021.6247	EDU	STUDENT						EDU			USAEDU	INDIANA	USA					EDU			1	036	036	03	1	4.0	8	1	8	2.38095238095238	3	Bloomington, Texas, United States	US	USTX	TX469	28.6478	-96.8925	1352429	3	Bloomington, Texas, United States	US	USTX	TX469	28.6478	-96.8925	1352429	3	Bloomington, Texas, United States	US	USTX	TX469	28.6478	-96.8925	1352429	20220818181500	https://www.houstonchronicle.com/neighborhood/pearland/article/Potter-inspired-comedy-to-kick-off-Pearland-High-17381965.php
1059194691	20210818	202108	2021	2021.6247	GOV	ATTORNEY GENERAL						GOV			USA	TENNESSEE	USA								1	193	193	19	4	-10.0	1	1	1	-7.14285714285715	3	Knox County, Tennessee, United States	US	USTN	TN093	36.0168	-83.9332	1639761	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220818181500	https://www.chron.com/news/article/Police-Officers-involved-in-teen-s-shooting-17382349.php
1059194692	20210818	202108	2021	2021.6247	GOV	ATTORNEY GENERAL						GOV			USA	TENNESSEE	USA								1	193	193	19	4	-10.0	1	1	1	-7.14285714285715	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220818181500	https://www.chron.com/news/article/Police-Officers-involved-in-teen-s-shooting-17382349.php
1059194693	20210818	202108	2021	2021.6247	NZL	NEW ZEALAND	NZL																		1	173	173	17	4	-5.0	8	1	4	0.18348623853211	4	Marlborough Sounds, New Zealand (general), New Zealand	NZ	NZ00	22391	-41	174.25	-1513427	0								4	Marlborough Sounds, New Zealand (general), New Zealand	NZ	NZ00	22391	-41	174.25	-1513427	20220818181500	https://www.stuff.co.nz/national/crime/129604902/scott-watsons-appeal-over-murder-conviction-delayed-till-next-year
1059194694	20210818	202108	2021	2021.6247	NZL	NEW ZEALAND	NZL																		1	190	190	19	4	-10.0	4	1	4	0.18348623853211	4	Marlborough Sounds, New Zealand (general), New Zealand	NZ	NZ00	22391	-41	174.25	-1513427	0								4	Marlborough Sounds, New Zealand (general), New Zealand	NZ	NZ00	22391	-41	174.25	-1513427	20220818181500	https://www.stuff.co.nz/national/crime/129604902/scott-watsons-appeal-over-murder-conviction-delayed-till-next-year
1059194695	20210818	202108	2021	2021.6247	USA	UNITED STATES	USA								GOV	ATTORNEY GENERAL						GOV			1	193	193	19	4	-10.0	3	1	3	-7.14285714285715	3	Knox County, Tennessee, United States	US	USTN	TN093	36.0168	-83.9332	1639761	3	Knox County, Tennessee, United States	US	USTN		36.0168	-83.9332	1639761	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220818181500	https://www.chron.com/news/article/Police-Officers-involved-in-teen-s-shooting-17382349.php
1059194696	20210818	202108	2021	2021.6247	USA	UNITED STATES	USA								GOV	ATTORNEY GENERAL						GOV			1	193	193	19	4	-10.0	3	1	3	-7.14285714285715	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220818181500	https://www.chron.com/news/article/Police-Officers-involved-in-teen-s-shooting-17382349.php
1059194697	20210818	202108	2021	2021.6247	USA	UNITED STATES	USA								USAGOV	UNITED STATES	USA					GOV			1	193	193	19	4	-10.0	1	1	1	-7.14285714285715	3	Knox County, Tennessee, United States	US	USTN	TN093	36.0168	-83.9332	1639761	3	Knox County, Tennessee, United States	US	USTN		36.0168	-83.9332	1639761	3	Knox County, Tennessee, United States	US	USTN		36.0168	-83.9332	1639761	20220818181500	https://www.chron.com/news/article/Police-Officers-involved-in-teen-s-shooting-17382349.php
1059194698	20210818	202108	2021	2021.6247	USA	UNITED STATES	USA								USAGOV	UNITED STATES	USA					GOV			1	193	193	19	4	-10.0	1	1	1	-7.14285714285715	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220818181500	https://www.chron.com/news/article/Police-Officers-involved-in-teen-s-shooting-17382349.php
