1059169102	20210818	202108	2021	2021.6247											BEL	BELGIUM	BEL								0	084	084	08	2	7.0	4	1	4	-6.64893617021277	0								1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	20220818151500	https://popculture.com/entertainment/news/le-monstre-trailer-takes-look-at-life-of-serial-killer-marc-dutroux-exclusive/
1059169103	20210818	202108	2021	2021.6247	IGOUNO	UNITED NATIONS		UNO				IGO			UAF	TERRORIST ORGANIZATION						UAF			1	040	040	04	1	1.0	10	1	10	-7.31707317073171	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220818151500	https://www.democracynow.org/2022/8/18/headlines/israeli_soldiers_raid_offices_of_7_palestinian_ngos_force_them_to_close
1059169104	20210818	202108	2021	2021.6247	ISR	ISRAEL	ISR								IGOUNO	UNITED NATIONS		UNO				IGO			1	111	111	11	3	-2.0	10	1	10	-7.31707317073171	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220818151500	https://www.democracynow.org/2022/8/18/headlines/israeli_soldiers_raid_offices_of_7_palestinian_ngos_force_them_to_close
1059169105	20210818	202108	2021	2021.6247	ISR	ISRAEL	ISR								NGOHRI	INTERNATIONAL HUMAN RIGHTS GROUP						NGO	HRI		1	111	111	11	3	-2.0	10	1	10	-7.31707317073171	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220818151500	https://www.democracynow.org/2022/8/18/headlines/israeli_soldiers_raid_offices_of_7_palestinian_ngos_force_them_to_close
1059169106	20210818	202108	2021	2021.6247	NGOHRI	INTERNATIONAL HUMAN RIGHTS GROUP						NGO	HRI		UAF	TERRORIST ORGANIZATION						UAF			1	040	040	04	1	1.0	10	1	10	-7.31707317073171	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220818151500	https://www.democracynow.org/2022/8/18/headlines/israeli_soldiers_raid_offices_of_7_palestinian_ngos_force_them_to_close
1059169107	20210818	202108	2021	2021.6247	UAF	TERRORIST ORGANIZATION						UAF			IGOUNO	UNITED NATIONS		UNO				IGO			1	040	040	04	1	1.0	10	1	10	-7.31707317073171	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220818151500	https://www.democracynow.org/2022/8/18/headlines/israeli_soldiers_raid_offices_of_7_palestinian_ngos_force_them_to_close
1059169108	20210818	202108	2021	2021.6247	UAF	TERRORIST ORGANIZATION						UAF			NGOHRI	INTERNATIONAL HUMAN RIGHTS GROUP						NGO	HRI		1	040	040	04	1	1.0	10	1	10	-7.31707317073171	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220818151500	https://www.democracynow.org/2022/8/18/headlines/israeli_soldiers_raid_offices_of_7_palestinian_ngos_force_them_to_close
1059169109	20220719	202207	2022	2022.5452	CHRPRO921	THE CHRISTIAN COMMUNITY				CHR	PRO														1	110	110	11	3	-2.0	10	1	10	-8.11688311688315	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220818151500	https://www.tennessean.com/story/news/local/2022/08/18/global-outreach-developments-founder-gregg-garner-wife-tara-dismissed-fraud-charges/10341830002/
1059169110	20220719	202207	2022	2022.5452	INDCOP	GUJARAT	IND					COP			GOV	CHIEF MINISTER						GOV			1	112	112	11	3	-2.0	5	1	5	-1.49253731343284	0								0								0								20220818151500	https://www.ndtv.com/india-news/congress-leader-ahmed-patels-daughter-open-to-joining-politics-but-3266009
1059169111	20220811	202208	2022	2022.6055											BUS	BANK						BUS			1	040	040	04	1	1.0	4	1	4	-0.55045871559633	0								4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20220818151500	https://economictimes.indiatimes.com/news/economy/foreign-trade/india-may-settle-cuba-trade-in-rupees/articleshow/93644569.cms
1059169112	20220811	202208	2022	2022.6055	BUS	BANK						BUS													1	040	040	04	1	1.0	4	1	4	-0.55045871559633	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	0								4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20220818151500	https://economictimes.indiatimes.com/news/economy/foreign-trade/india-may-settle-cuba-trade-in-rupees/articleshow/93644569.cms
1059169113	20220811	202208	2022	2022.6055	BUS	BANK						BUS			IND	MUMBAI	IND								1	040	040	04	1	1.0	6	1	6	-0.55045871559633	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20220818151500	https://economictimes.indiatimes.com/news/economy/foreign-trade/india-may-settle-cuba-trade-in-rupees/articleshow/93644569.cms
1059169114	20220811	202208	2022	2022.6055	IND	MUMBAI	IND								BUS	BANK						BUS			1	040	040	04	1	1.0	6	1	6	-0.55045871559633	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20220818151500	https://economictimes.indiatimes.com/news/economy/foreign-trade/india-may-settle-cuba-trade-in-rupees/articleshow/93644569.cms
1059169115	20220811	202208	2022	2022.6055	MED	MAGAZINE						MED			USA	CALIFORNIA	USA								1	010	010	01	1	0.0	10	1	10	-3.51053159478435	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20220818151500	https://patriotpost.us/opinion/90634-academic-theories-should-not-be-the-basis-for-public-policy-2022-08-18
