1060173531	20210825	202108	2021	2021.6438	ISR	ISRAELI	ISR								JEWRAD	JEWISH				JEW		RAD			0	010	010	01	1	0.0	6	1	6	-7.58354755784062	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220825170000	https://www.timesofisrael.com/police-close-case-against-settler-suspected-of-killing-palestinian-in-june/
1060173532	20210825	202108	2021	2021.6438	LEG	SENATE						LEG													1	060	060	06	2	6.0	5	1	5	0.94637223974763	2	California, United States	US	USCA		36.17	-119.746	CA	0								2	California, United States	US	USCA		36.17	-119.746	CA	20220825170000	https://www.dailyrepublic.com/all-dr-news/solano-news/fairfield/bill-to-assist-elderly-disabled-clears-legislature/
1060173533	20220726	202207	2022	2022.5644											USA	UNITED STATES	USA								0	020	020	02	1	3.0	4	1	4	-9.14826498422715	0								3	Littleton, Colorado, United States	US	USCO	CO005	39.6133	-105.017	169446	3	Littleton, Colorado, United States	US	USCO	CO005	39.6133	-105.017	169446	20220825170000	https://www.wdio.com/front-page/top-stories/ex-cop-lane-will-report-to-colorado-prison-in-floyd-killing/
1060173534	20220726	202207	2022	2022.5644											USA	UNITED STATES	USA								0	173	173	17	4	-5.0	4	1	4	-9.14826498422715	0								3	Littleton, Colorado, United States	US	USCO	CO005	39.6133	-105.017	169446	3	Littleton, Colorado, United States	US	USCO	CO005	39.6133	-105.017	169446	20220825170000	https://www.wdio.com/front-page/top-stories/ex-cop-lane-will-report-to-colorado-prison-in-floyd-killing/
1060173535	20220726	202207	2022	2022.5644	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								0	046	046	04	1	7.0	1	1	1	-5.03751339764202	3	Robb Elementary School, Texas, United States	US	USTX	TX463	29.2005	-99.7881	2009051	3	Uvalde, Texas, United States	US	USTX	TX463	29.2097	-99.7862	1370541	3	Robb Elementary School, Texas, United States	US	USTX		29.2005	-99.7881	2009051	20220825170000	http://www.msn.com/en-us/news/us/you-messed-up-uvalde-parents-make-emotional-comments-before-school-police-chief-is-fired/ar-AA1165EW
1060173536	20220726	202207	2022	2022.5644	GBR	UNITED KINGDOM	GBR																		1	015	015	01	1	0.0	2	1	2	-9.45378151260502	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	0								4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20220825170000	https://www.belfastlive.co.uk/news/belfast-news/noah-donohoe-woman-who-teens-24854005
1060173537	20220726	202207	2022	2022.5644	HTIGOV	HAITI	HTI					GOV													1	017	017	01	1	0.0	8	1	8	-0.10764262648009	1	Haiti	HA	HA		19	-72.416667	HA	0								1	Haiti	HA	HA		19	-72.416667	HA	20220825170000	https://moderndiplomacy.eu/2022/08/25/why-the-global-fragility-act-matters-for-haiti/
1060173538	20220726	202207	2022	2022.5644	HTIGOV	HAITI	HTI					GOV			HTI	HAITI	HTI								1	017	017	01	1	0.0	2	1	2	-0.10764262648009	1	Haiti	HA	HA		19	-72.416667	HA	1	Haiti	HA	HA		19	-72.416667	HA	1	Haiti	HA	HA		19	-72.416667	HA	20220825170000	https://moderndiplomacy.eu/2022/08/25/why-the-global-fragility-act-matters-for-haiti/
1060173539	20220726	202207	2022	2022.5644	IND	JAMMU AND KASHMIR	IND								SIK	SIKH				SIK					0	190	190	19	4	-10.0	10	1	10	-6.50793650793651	0								0								0								20220825170000	https://www.telegraphindia.com/india/amit-shah-directs-security-forces-to-continue-ops-to-wipe-out-terrorism-in-jammu-kashmir/cid/1882417
1060173540	20220726	202207	2022	2022.5644	USA	UNITED STATES	USA								EDU	SCHOOL						EDU			0	010	010	01	1	0.0	1	1	1	-5.03751339764202	3	Uvalde, Texas, United States	US	USTX	TX463	29.2097	-99.7862	1370541	3	Robb Elementary School, Texas, United States	US	USTX		29.2005	-99.7881	2009051	3	Robb Elementary School, Texas, United States	US	USTX		29.2005	-99.7881	2009051	20220825170000	http://www.msn.com/en-us/news/us/you-messed-up-uvalde-parents-make-emotional-comments-before-school-police-chief-is-fired/ar-AA1165EW
