1060111118	20210825	202108	2021	2021.6438	GOV	KING						GOV													0	051	051	05	1	3.4	6	1	6	0	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	0								4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	20220825090000	https://www.irishmirror.ie/showbiz/irish-showbiz/virgin-medias-muireann-oconnell-fiance-27827574
1060111119	20210825	202108	2021	2021.6438	SWEGOV	SWEDEN	SWE					GOV			SWE	SWEDEN	SWE								0	051	051	05	1	3.4	2	1	2	0	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	20220825090000	https://www.irishmirror.ie/showbiz/irish-showbiz/virgin-medias-muireann-oconnell-fiance-27827574
1060111120	20220726	202207	2022	2022.5644	IRNGOV	IRAN	IRN					GOV			UKR	UKRAINIAN	UKR								1	120	120	12	3	-4.0	6	1	6	-4.82573726541555	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	Ukraine	UP	UP		49	32	UP	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825090000	http://www.econotimes.com/Iran-launches-two-day-drills-to-test-drones-1640089
1060111121	20220726	202207	2022	2022.5644	IRNGOV	IRAN	IRN					GOV			UKR	UKRAINE	UKR								1	120	120	12	3	-4.0	1	1	1	-4.82573726541555	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825090000	http://www.econotimes.com/Iran-launches-two-day-drills-to-test-drones-1640089
1060111122	20220726	202207	2022	2022.5644	KOR	SEOUL	KOR								MNCKOR	SAMSUNG	KOR					MNC			1	042	042	04	1	1.9	5	1	5	-0.27855153203343	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20220825090000	http://koreabizwire.com/samsung-produces-prototype-reinvented-toilet-with-bill-melinda-gates-foundation/227077
1060111123	20220726	202207	2022	2022.5644	MNCKOR	SAMSUNG	KOR					MNC			KOR	SEOUL	KOR								1	043	043	04	1	2.8	5	1	5	-0.27855153203343	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20220825090000	http://koreabizwire.com/samsung-produces-prototype-reinvented-toilet-with-bill-melinda-gates-foundation/227077
1060111124	20220825	202208	2022	2022.6438											AFR	AFRICA	AFR								1	042	042	04	1	1.9	2	1	2	-4	0								4	Braamfontein, Eastern Cape, South Africa	SF	SF05	77321	-31.4113	26.487	-1214423	4	Braamfontein, Eastern Cape, South Africa	SF	SF05	77321	-31.4113	26.487	-1214423	20220825090000	https://www.timeslive.co.za/tshisa-live/tshisa-live/2022-08-25-malema-on-calls-to-cancel-macg-even-if-he-disrespects-women-we-have-a-responsibility-to-educate-him/
1060111125	20220825	202208	2022	2022.6438											AFR	AFRICA	AFR								0	042	042	04	1	1.9	10	1	10	-6.7722075637643	0								4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220825090000	https://foreignaffairs.co.nz/2022/08/25/mil-osi-africa-women-refugees-fleeing-violence-seek-safety-in-south-africa-but-they-dont-find-it/
1060111126	20220825	202208	2022	2022.6438											AFR	AFRICA	AFR								0	043	043	04	1	2.8	4	1	4	-4	0								4	Braamfontein, Eastern Cape, South Africa	SF	SF05	77321	-31.4113	26.487	-1214423	4	Braamfontein, Eastern Cape, South Africa	SF	SF05	77321	-31.4113	26.487	-1214423	20220825090000	https://www.timeslive.co.za/tshisa-live/tshisa-live/2022-08-25-malema-on-calls-to-cancel-macg-even-if-he-disrespects-women-we-have-a-responsibility-to-educate-him/
1060111127	20220825	202208	2022	2022.6438											AUS	AUSTRALIA	AUS								1	036	036	03	1	4.0	2	1	2	-0.72463768115942	0								1	Ukraine	UP	UP		49	32	UP	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20220825090000	https://www.skynews.com.au/australia-news/politics/anthony-albaneses-partner-jodie-haydon-becomes-new-chief-patron-of-the-national-portrait-gallery/news-story/3c8322b9a237991c05eb419f96a5b5fb
