1060095832	20210825	202108	2021	2021.6438	EDU	UNIVERSITY						EDU			ISR	ISRAEL	ISR								0	090	090	09	2	-2.0	10	1	10	-6.12903225806452	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	20220825063000	https://www.timesofisrael.com/body-of-young-woman-apparently-stabbed-to-death-found-in-field-near-rehovot/
1060095833	20210825	202108	2021	2021.6438	GBR	MANCHESTER	GBR								USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-6.28415300546448	3	Scott County, Iowa, United States	US	USIA	IA163	41.6334	-90.6335	465270	3	Scott County, Iowa, United States	US	USIA		41.6334	-90.6335	465270	3	Scott County, Iowa, United States	US	USIA		41.6334	-90.6335	465270	20220825063000	https://www.thegazette.com/crime-courts/jerry-burns-found-guilty-of-first-degree-murder-in-the-death-of-michelle-martinko/
1060095834	20210825	202108	2021	2021.6438	GBR	MANCHESTER	GBR								USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-6.28415300546448	3	Scott County, Iowa, United States	US	USIA	IA163	41.6334	-90.6335	465270	2	Florida, United States	US	USFL		27.8333	-81.717	FL	3	Cedar Rapids, Iowa, United States	US	USIA		42.0083	-91.6441	465941	20220825063000	https://www.thegazette.com/crime-courts/jerry-burns-found-guilty-of-first-degree-murder-in-the-death-of-michelle-martinko/
1060095835	20210825	202108	2021	2021.6438	GBR	MANCHESTER	GBR								USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-6.28415300546448	3	Cedar Rapids, Iowa, United States	US	USIA	IA113	42.0083	-91.6441	465941	3	Scott County, Iowa, United States	US	USIA		41.6334	-90.6335	465270	3	Cedar Rapids, Iowa, United States	US	USIA		42.0083	-91.6441	465941	20220825063000	https://www.thegazette.com/crime-courts/jerry-burns-found-guilty-of-first-degree-murder-in-the-death-of-michelle-martinko/
1060095836	20210825	202108	2021	2021.6438	GBR	MANCHESTER	GBR								USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-6.28415300546448	3	Cedar Rapids, Iowa, United States	US	USIA	IA113	42.0083	-91.6441	465941	3	Cedar Rapids, Iowa, United States	US	USIA		42.0083	-91.6441	465941	3	Cedar Rapids, Iowa, United States	US	USIA		42.0083	-91.6441	465941	20220825063000	https://www.thegazette.com/crime-courts/jerry-burns-found-guilty-of-first-degree-murder-in-the-death-of-michelle-martinko/
1060095837	20210825	202108	2021	2021.6438	GOV	GOVERNMENT						GOV													0	071	071	07	2	7.4	3	1	3	-1.32275132275132	1	Philippines	RP	RP		13	122	RP	0								1	Philippines	RP	RP		13	122	RP	20220825063000	https://mb.com.ph/2022/08/25/here-are-the-makabayan-solons-issues-on-2023-proposed-national-budget/
1060095838	20210825	202108	2021	2021.6438	PHL	MANILA	PHL								QAT	QATAR	QAT								0	040	040	04	1	1.0	7	1	7	2.24358974358974	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095839	20210825	202108	2021	2021.6438	PHL	MANILA	PHL								QAT	QATAR	QAT								0	040	040	04	1	1.0	1	1	1	2.24358974358974	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095840	20210825	202108	2021	2021.6438	PHL	MANILA	PHL								QAT	QATAR	QAT								0	042	042	04	1	1.9	7	1	7	2.24358974358974	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095841	20210825	202108	2021	2021.6438	PHL	MANILA	PHL								QAT	QATAR	QAT								0	042	042	04	1	1.9	1	1	1	2.24358974358974	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095842	20210825	202108	2021	2021.6438	PHL	MANILA	PHL								QAT	QATAR	QAT								0	046	046	04	1	7.0	7	1	7	2.24358974358974	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095843	20210825	202108	2021	2021.6438	PHL	MANILA	PHL								QAT	QATAR	QAT								0	046	046	04	1	7.0	1	1	1	2.24358974358974	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095844	20210825	202108	2021	2021.6438	QAT	QATAR	QAT								PHL	MANILA	PHL								0	040	040	04	1	1.0	7	1	7	2.24358974358974	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095845	20210825	202108	2021	2021.6438	QAT	QATAR	QAT								PHL	MANILA	PHL								0	040	040	04	1	1.0	1	1	1	2.24358974358974	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095846	20210825	202108	2021	2021.6438	QAT	QATAR	QAT								PHL	MANILA	PHL								0	043	043	04	1	2.8	7	1	7	2.24358974358974	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
