1060049722	20220725	202207	2022	2022.5616	RUS	RUSSIAN	RUS								RUSMED	RUSSIAN	RUS					MED			1	013	013	01	1	0.4	3	1	3	-4.46735395189003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://religionnews.com/2022/08/24/potential-meeting-between-pope-francis-and-patriarch-kirill-canceled/
1060049723	20220725	202207	2022	2022.5616	RUSMED	RUSSIAN	RUS					MED			LEG	CONGRESS						LEG			1	042	042	04	1	1.9	10	1	10	-4.46735395189003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://religionnews.com/2022/08/24/potential-meeting-between-pope-francis-and-patriarch-kirill-canceled/
1060049724	20220725	202207	2022	2022.5616	USAMED	REUTERS	USA					MED			LEG	CONGRESS						LEG			1	160	160	16	4	-4.0	4	1	4	-4.46735395189003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://religionnews.com/2022/08/24/potential-meeting-between-pope-francis-and-patriarch-kirill-canceled/
1060049725	20220725	202207	2022	2022.5616	USAMED	REUTERS	USA					MED			LEG	CONGRESS						LEG			1	160	160	16	4	-4.0	1	1	1	-4.46735395189003	1	Kazakhstan	KZ	KZ		48	68	KZ	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://religionnews.com/2022/08/24/potential-meeting-between-pope-francis-and-patriarch-kirill-canceled/
1060049726	20220817	202208	2022	2022.6219											COP	POLICE OFFICIALS						COP			0	0353	035	03	1	7.0	10	1	10	-2.47933884297521	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220824230000	https://www.newschannel5.com/news/tennessee-naacp-calling-for-an-investigation-into-nashville-police
1060049727	20220817	202208	2022	2022.6219	CVL	VOTER						CVL													0	010	010	01	1	0.0	3	1	3	-1.23674911660777	3	Bucks County, Pennsylvania, United States	US	USPA	PA017	40.5004	-75.3749	1209173	0								3	Bucks County, Pennsylvania, United States	US	USPA		40.5004	-75.3749	1209173	20220824230000	http://www.mcall.com/news/pennsylvania/mc-nws-pa-voter-registration-forms-updated-20220824-jbyivemmhrfpjgsnoooxund63q-story.html
1060049728	20220817	202208	2022	2022.6219	CVL	VOTER						CVL													0	010	010	01	1	0.0	1	1	1	-1.23674911660777	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								3	Lehigh County, Pennsylvania, United States	US	USPA		40.7504	-75.6249	1209182	20220824230000	http://www.mcall.com/news/pennsylvania/mc-nws-pa-voter-registration-forms-updated-20220824-jbyivemmhrfpjgsnoooxund63q-story.html
1060049729	20220817	202208	2022	2022.6219	CVL	VOTER						CVL													0	010	010	01	1	0.0	1	1	1	-1.23674911660777	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20220824230000	http://www.mcall.com/news/pennsylvania/mc-nws-pa-voter-registration-forms-updated-20220824-jbyivemmhrfpjgsnoooxund63q-story.html
1060049730	20220823	202208	2022	2022.6384	GOV	PRESIDENT						GOV			FRA	FRANCE	FRA								0	130	130	13	3	-4.4	8	1	8	-4.97512437810945	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20220824230000	https://www.telegraph.co.uk/opinion/2022/08/24/sacrifice-home-support-ukraine/
1060049731	20220823	202208	2022	2022.6384	GOV	PRESIDENT						GOV			FRA	FRANCE	FRA								0	130	130	13	3	-4.4	2	1	2	-4.97512437810945	1	Germany	GM	GM		51.5	10.5	GM	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20220824230000	https://www.telegraph.co.uk/opinion/2022/08/24/sacrifice-home-support-ukraine/
1060049732	20220823	202208	2022	2022.6384	RUS	RUSSIAN	RUS								MIL	ARMY						MIL			0	172	172	17	4	-5.0	2	1	2	-9.06432748538011	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://www.telegraph.co.uk/world-news/2022/08/24/least-15-killed-russian-attack-ukraines-independence-day/
1060049733	20220823	202208	2022	2022.6384	RUS	RUSSIAN	RUS								OPP	OPPOSITION LEADER						OPP			0	173	173	17	4	-5.0	2	1	2	-9.06432748538011	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://www.telegraph.co.uk/world-news/2022/08/24/least-15-killed-russian-attack-ukraines-independence-day/
1060049734	20220823	202208	2022	2022.6384	RUSCOP	RUSSIAN	RUS					COP			MIL	ARMY						MIL			0	172	172	17	4	-5.0	6	1	6	-9.06432748538011	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://www.telegraph.co.uk/world-news/2022/08/24/least-15-killed-russian-attack-ukraines-independence-day/
1060049735	20220823	202208	2022	2022.6384	RUSCOP	RUSSIAN	RUS					COP			OPP	OPPOSITION LEADER						OPP			0	173	173	17	4	-5.0	6	1	6	-9.06432748538011	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220824230000	https://www.telegraph.co.uk/world-news/2022/08/24/least-15-killed-russian-attack-ukraines-independence-day/
1060049736	20220823	202208	2022	2022.6384	ZWEGOVMIL	EMMERSON MNANGAGWA	ZWE					GOV	MIL		ZWE	ZIMBABWE	ZWE								1	112	112	11	3	-2.0	10	1	10	-0.60240963855422	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20220824230000	http://www.newsdzezimbabwe.co.uk/2022/08/confront-us-ed-challenge-private-sector.html
1060049737	20220824	202208	2022	2022.6411											AGR	FARMER						AGR			0	046	046	04	1	7.0	10	1	10	0.0757002271006799	0								3	Emporia, Kansas, United States	US	USKS	KS111	38.4039	-96.1817	477524	3	Emporia, Kansas, United States	US	USKS	KS111	38.4039	-96.1817	477524	20220824230000	http://www.emporiagazette.com/gaz/article_7d5178f2-231d-11ed-974e-eb73ae359548.html
1060049738	20220824	202208	2022	2022.6411											BGR	BULGARIA	BGR								1	042	042	04	1	1.9	20	2	20	-1.3788733286864	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220824230000	https://www.nbcsandiego.com/tag/aviation/
1060049739	20220824	202208	2022	2022.6411											BRA	BRAZILIAN	BRA								0	040	040	04	1	1.0	10	1	10	2.15827338129496	0								4	Amazonia, Bahia, Brazil	BR	BR05	6903	-12.1667	-39.3333	-624596	4	Amazonia, Bahia, Brazil	BR	BR05	6903	-12.1667	-39.3333	-624596	20220824230000	https://pulitzercenter.org/ieo
1060049740	20220824	202208	2022	2022.6411											BUS	COMPANY						BUS			1	020	020	02	1	3.0	5	1	5	0.96618357487922	0								3	Allentown, Pennsylvania, United States	US	USPA	PA003	40.4276	-79.9939	1202899	3	Allentown, Pennsylvania, United States	US	USPA	PA003	40.4276	-79.9939	1202899	20220824230000	https://www.wfmz.com/news/area/lehighvalley/allentown-buses-made-safer-for-the-school-year/article_e30054e0-23f7-11ed-a496-83ebb1cfdfd1.html
1060049741	20220824	202208	2022	2022.6411											BUS	COMPANY						BUS			0	040	040	04	1	1.0	6	1	6	-3.1055900621118	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20220824230000	https://wdrv.com/crosby-stills-nashs-music-back-on-spotify-trio-reportedly-donating-proceeds-to-covid-19-charities/
1060049742	20220824	202208	2022	2022.6411											BUS	INVESTOR						BUS			0	042	042	04	1	1.9	10	1	10	-0.60240963855422	0								4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20220824230000	http://www.newsdzezimbabwe.co.uk/2022/08/confront-us-ed-challenge-private-sector.html
1060049743	20220824	202208	2022	2022.6411											CHL	SANTIAGO	CHL								1	042	042	04	1	1.9	3	1	3	0.63532401524778	0								1	Argentina	AR	AR		-34	-64	AR	1	Argentina	AR	AR		-34	-64	AR	20220824230000	https://www.cepal.org/en/pressreleases/authorities-urge-deepening-regional-cooperation-meet-growing-demand-timely-quality
1060049744	20220824	202208	2022	2022.6411											CHN	CHINA	CHN								0	112	112	11	3	-2.0	4	1	4	-1.65094339622641	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220824230000	https://www.telegraphindia.com/opinion/broad-vision-editorial-on-india-and-china-working-together-to-realise-the-asian-century/cid/1882281
1060049745	20220824	202208	2022	2022.6411											COP	POLICE CHIEF						COP			0	046	046	04	1	7.0	6	1	6	-6.06394707828004	0								3	Madison County, Illinois, United States	US	USIL		38.8334	-89.9001	424258	3	Madison County, Illinois, United States	US	USIL		38.8334	-89.9001	424258	20220824230000	https://www.sfgate.com/news/article/ISP-director-talks-about-FOID-enforcement-17396103.php
1060049746	20220824	202208	2022	2022.6411											COP	PRISON						COP			1	100	100	10	3	-5.0	10	1	10	-5.07614213197969	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20220824230000	https://www.crimeonline.com/2022/08/24/air-force-sergeant-charged-with-child-porn-sexually-exploiting-children/
1060049747	20220824	202208	2022	2022.6411											COP	PRISON						COP			1	173	173	17	4	-5.0	10	1	10	-5.07614213197969	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20220824230000	https://www.crimeonline.com/2022/08/24/air-force-sergeant-charged-with-child-porn-sexually-exploiting-children/
1060049748	20220824	202208	2022	2022.6411											CVL	VOTER						CVL			0	020	020	02	1	3.0	1	1	1	-1.81962025316455	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20220824230000	https://harvardpolitics.com/democrats-new-playbook/
1060049749	20220824	202208	2022	2022.6411											CVL	COMMUNITY						CVL			0	036	036	03	1	4.0	10	1	10	4.44444444444444	0								1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20220824230000	https://portcitydaily.com/community-and-events/2022/08/23/nhc-endowment-to-lay-out-criteria-for-grants-in-upcoming-information-session/
1060049750	20220824	202208	2022	2022.6411											CVL	HUNTER						CVL			1	112	112	11	3	-2.0	1	1	1	-7.40740740740741	0								3	Pima County, Arizona, United States	US	USAZ		32.0004	-112.003	25446	3	Pima County, Arizona, United States	US	USAZ		32.0004	-112.003	25446	20220824230000	https://tucson.com/news/local/crime-and-courts/police-id-man-with-gun-arrested-on-university-of-arizona-campus/article_b75a86da-23e3-11ed-80d7-f32a342b854b.html
1060049751	20220824	202208	2022	2022.6411											DEU	GERMANY	DEU								1	042	042	04	1	1.9	3	1	3	0.35046728971962	0								4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20220824230000	https://calgarysun.com/news/local-news/winston-churchill-statue-coming-to-calgary-next-spring-long-overdue-says-proponent/wcm/bd2ffb64-745c-46bc-8e8a-c952a9caf10a
1060049752	20220824	202208	2022	2022.6411											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	2	1	2	1.24164278892072	0								3	Burlington, Illinois, United States	US	USIL	IL089	42.0528	-88.5481	405231	3	Burlington, Illinois, United States	US	USIL	IL089	42.0528	-88.5481	405231	20220824230000	https://www.thehawkeye.com/story/news/2022/08/24/scene-grimes-elementary-burlington-new-school-year-begins/7874198001/
1060049753	20220824	202208	2022	2022.6411											EDU	SCHOOL						EDU			0	043	043	04	1	2.8	6	1	6	1.85334407735697	0								1	Botswana	BC	BC		-22	24	BC	1	Botswana	BC	BC		-22	24	BC	20220824230000	https://www.nationalgeographic.com/environment/article/paid-content-connected-by-water
1060049754	20220824	202208	2022	2022.6411											EDUCOP	SCHOOL						EDU	COP		1	043	043	04	1	2.8	1	1	1	-20.5128205128205	0								3	Uvalde, Texas, United States	US	USTX	TX463	29.2097	-99.7862	1370541	3	Uvalde, Texas, United States	US	USTX	TX463	29.2097	-99.7862	1370541	20220824230000	https://www.sfgate.com/news/article/Alert-Uvalde-school-police-chief-refuses-to-17396229.php
1060049755	20220824	202208	2022	2022.6411											ESP	SPAIN	ESP								0	043	043	04	1	2.8	1	1	1	-1.85185185185186	0								3	Brookhaven, Pennsylvania, United States	US	USPA	PA045	39.8693	-75.3824	1192192	3	Brookhaven, Pennsylvania, United States	US	USPA	PA045	39.8693	-75.3824	1192192	20220824230000	https://freerepublic.com/tag/*/index?more=4088066
1060049756	20220824	202208	2022	2022.6411											GBR	BIRMINGHAM	GBR								0	020	020	02	1	3.0	5	1	5	0.71315372424722	0								3	Vestavia Hills, Alabama, United States	US	USAL		33.2421	-87.5678	148705	3	Vestavia Hills, Alabama, United States	US	USAL		33.2421	-87.5678	148705	20220824230000	https://vestaviavoice.com/news/the-future-of-public-transit-in-vestavia-hills/
1060049757	20220824	202208	2022	2022.6411											GBR	UNITED KINGDOM	GBR								0	051	051	05	1	3.4	4	1	4	-4.34782608695652	0								5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	20220824230000	https://www.telegraph.co.uk/news/2022/08/24/harry-dunns-us-killer-could-finally-appear-british-court/
1060049758	20220824	202208	2022	2022.6411											GBR	UNITED KINGDOM	GBR								0	100	100	10	3	-5.0	4	1	4	-4.34782608695652	0								5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	20220824230000	https://www.telegraph.co.uk/news/2022/08/24/harry-dunns-us-killer-could-finally-appear-british-court/
1060049759	20220824	202208	2022	2022.6411											GOV	MINISTRY						GOV			0	043	043	04	1	2.8	8	1	8	2.97397769516728	0								4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20220824230000	https://www.herald.co.zw/zim-sanctions-fight-gets-major-boost/
1060049760	20220824	202208	2022	2022.6411											GOVEDU	DEPARTMENT OF EDUCATION						GOV	EDU		1	042	042	04	1	1.9	10	1	10	1.0703363914373	0								3	Kershaw County, South Carolina, United States	US	USSC		34.4502	-80.5665	1248007	3	Kershaw County, South Carolina, United States	US	USSC		34.4502	-80.5665	1248007	20220824230000	https://www.wltx.com/article/news/education/clock-ticking-sc-schools-federal-covid-relief-funding/101-8112d1b5-3548-4150-bb5c-fbce1d285d10
1060049761	20220824	202208	2022	2022.6411											GOVEDU	DEPARTMENT OF EDUCATION						GOV	EDU		1	042	042	04	1	1.9	5	1	5	1.0703363914373	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20220824230000	https://www.wltx.com/article/news/education/clock-ticking-sc-schools-federal-covid-relief-funding/101-8112d1b5-3548-4150-bb5c-fbce1d285d10
1060049762	20220824	202208	2022	2022.6411											ITA	ITALY	ITA								0	1123	112	11	3	-2.0	4	1	4	-3.601108033241	0								4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20220824230000	https://www.cbsnews.com/news/marjorie-taylor-greene-home-targeted-in-swatting-call/
1060049763	20220824	202208	2022	2022.6411											JUD	LAWYER						JUD			1	030	030	03	1	4.0	2	1	2	-4.34782608695652	0								5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	4	Croughton, Northamptonshire, United Kingdom	UK	UKJ1	40135	51.9833	-1.2	-2593752	20220824230000	https://www.telegraph.co.uk/news/2022/08/24/harry-dunns-us-killer-could-finally-appear-british-court/
1060049764	20220824	202208	2022	2022.6411											JUD	LAWYER						JUD			1	030	030	03	1	4.0	8	1	8	-4.34782608695652	0								5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	20220824230000	https://www.telegraph.co.uk/news/2022/08/24/harry-dunns-us-killer-could-finally-appear-british-court/
1060049765	20220824	202208	2022	2022.6411											JUD	ATTORNEY						JUD			1	060	060	06	2	6.0	2	1	2	-7.90067720090293	0								3	Santa Barbara County, California, United States	US	USCA		34.7333	-120.034	277306	3	Santa Barbara County, California, United States	US	USCA		34.7333	-120.034	277306	20220824230000	https://www.independentsentinel.com/immigrant-raped-women-for-years-gets-to-stay-in-the-usa/
1060049766	20220824	202208	2022	2022.6411											JUD	ATTORNEY						JUD			0	111	111	11	3	-2.0	3	1	3	-5.07487520798669	0								3	Crawford County, Arkansas, United States	US	USAR		35.5834	-94.2335	69161	3	Crawford County, Arkansas, United States	US	USAR		35.5834	-94.2335	69161	20220824230000	https://www.usatoday.com/story/news/nation/2022/08/24/arkansas-police-beating-justified-what-experts-say/7882949001/
1060049767	20220824	202208	2022	2022.6411											JUD	ATTORNEY						JUD			0	190	190	19	4	-10.0	3	1	3	-5.07487520798669	0								3	Crawford County, Arkansas, United States	US	USAR		35.5834	-94.2335	69161	3	Crawford County, Arkansas, United States	US	USAR		35.5834	-94.2335	69161	20220824230000	https://www.usatoday.com/story/news/nation/2022/08/24/arkansas-police-beating-justified-what-experts-say/7882949001/
1060049768	20220824	202208	2022	2022.6411											LEG	LEGISLATOR						LEG			1	046	046	04	1	7.0	5	1	5	0.96618357487922	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20220824230000	https://www.wfmz.com/news/area/lehighvalley/allentown-buses-made-safer-for-the-school-year/article_e30054e0-23f7-11ed-a496-83ebb1cfdfd1.html
1060049769	20220824	202208	2022	2022.6411											LEG	LAWMAKER						LEG			1	112	112	11	3	-2.0	10	1	10	-3.17662007623888	0								2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20220824230000	https://www.ksl.com/article/50463321/utah-judge-weighing-whether-to-dismiss-lawsuit-to-overturn-new-congressional-districts
1060049770	20220824	202208	2022	2022.6411											LEG	LAWMAKER						LEG			1	190	190	19	4	-10.0	1	1	1	-9.04761904761903	0								4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	20220824230000	https://pmnewsnigeria.com/2022/08/24/police-arrest-killers-of-bauchi-lawmaker-musa-mante-2-others/
1060049771	20220824	202208	2022	2022.6411											MED	SPOKESMAN						MED			0	011	011	01	1	-0.1	6	1	6	-4.34782608695652	0								5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	20220824230000	https://www.telegraph.co.uk/news/2022/08/24/harry-dunns-us-killer-could-finally-appear-british-court/
1060049772	20220824	202208	2022	2022.6411											MED	SPOKESMAN						MED			0	051	051	05	1	3.4	6	1	6	-4.34782608695652	0								5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	5	Northamptonshire, Northamptonshire, United Kingdom	UK	UKJ1	40124	52.316	-0.848108	-2604210	20220824230000	https://www.telegraph.co.uk/news/2022/08/24/harry-dunns-us-killer-could-finally-appear-british-court/
1060049773	20220824	202208	2022	2022.6411											MIL	MILITARY						MIL			0	042	042	04	1	1.9	8	1	8	3.96341463414634	0								4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	20220824230000	https://www.vanguardngr.com/2022/08/nigeria-seeks-stronger-military-cooperation-with-iran/
1060049774	20220824	202208	2022	2022.6411											MIL	MILITARY						MIL			0	042	042	04	1	1.9	2	1	2	3.96341463414634	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20220824230000	https://www.vanguardngr.com/2022/08/nigeria-seeks-stronger-military-cooperation-with-iran/
1060049775	20220824	202208	2022	2022.6411											MIL	MILITARY						MIL			0	043	043	04	1	2.8	10	1	10	-0.0733137829912103	0								3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20220824230000	https://warbirdsnews.com/warbird-articles/top-advanced-fighter-aircraft.html
1060049776	20220824	202208	2022	2022.6411											MIL	AIR FORCE						MIL			1	173	173	17	4	-5.0	4	1	4	-5.07614213197969	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20220824230000	https://www.crimeonline.com/2022/08/24/air-force-sergeant-charged-with-child-porn-sexually-exploiting-children/
