1060147923	20210825	202108	2021	2021.6438	LKA	SRI LANKA	LKA																		1	166	166	16	4	-7.0	10	1	10	2.70270270270271	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	0								4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	20220825134500	https://english.news.cn/asiapacific/20220825/9212a1aff5434276b85b3c2e66f976a3/c.html
1060147924	20210825	202108	2021	2021.6438	RUS	RUSSIAN	RUS								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	154	154	15	4	-7.2	4	1	4	0.76013946572322	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220825134500	https://www.russiaherald.com/news/272666162/putin-orders-russian-military-to-grow-in-manpower
1060147925	20210825	202108	2021	2021.6438	RUS	RUSSIAN	RUS								RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	154	154	15	4	-7.2	4	1	4	0.76013946572322	1	Germany	GM	GM		51.5	10.5	GM	4	Kiev, Ukraine (general), Ukraine	UP	UP00	28554	50.4333	30.5167	-1044367	4	Kiev, Ukraine (general), Ukraine	UP	UP00	28554	50.4333	30.5167	-1044367	20220825134500	https://www.russiaherald.com/news/272666162/putin-orders-russian-military-to-grow-in-manpower
1060147926	20210825	202108	2021	2021.6438	RUSMIL	RUSSIAN	RUS					MIL			RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	154	154	15	4	-7.2	12	1	12	0.76013946572322	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220825134500	https://www.russiaherald.com/news/272666162/putin-orders-russian-military-to-grow-in-manpower
1060147927	20220726	202207	2022	2022.5644	CAN	CANADA	CAN																		1	193	193	19	4	-10.0	4	1	4	-3.25581395348837	4	Kamloops, British Columbia, Canada	CA	CA02	12566	50.6667	-120.333	-566975	0								4	Kamloops, British Columbia, Canada	CA	CA02	12566	50.6667	-120.333	-566975	20220825134500	https://www.castanet.net/news/Kamloops/381813/Man-defends-his-actions-in-viral-Brocklehurst-road-rage-confrontation
1060147928	20220726	202207	2022	2022.5644	COP	PRISON						COP													1	015	015	01	1	0.0	6	1	6	-8.62068965517241	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	0								2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20220825134500	https://kstp.com/kstp-news/top-news/ex-minneapolis-officer-derek-chauvin-now-in-federal-custody/
1060147929	20220726	202207	2022	2022.5644	GBRGOV	UNITED KINGDOM	GBR					GOV													0	0831	083	08	2	5.0	2	1	2	-5.69948186528498	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20220825134500	https://www.thestandard.com.hk/breaking-news/section/6/193912/UK-leadership-candidate-Sunak-attacks-Covid-lockdown-response&nbsp
1060147930	20220726	202207	2022	2022.5644	MED	MEDIA						MED			CAN	CANADA	CAN								1	013	013	01	1	0.4	4	1	4	-3.25581395348837	4	Kamloops, British Columbia, Canada	CA	CA02	12566	50.6667	-120.333	-566975	4	Kamloops, British Columbia, Canada	CA	CA02	12566	50.6667	-120.333	-566975	4	Kamloops, British Columbia, Canada	CA	CA02	12566	50.6667	-120.333	-566975	20220825134500	https://www.castanet.net/news/Kamloops/381813/Man-defends-his-actions-in-viral-Brocklehurst-road-rage-confrontation
1060147931	20220726	202207	2022	2022.5644	NZL	NEW ZEALAND	NZL								NZLMIL	KIWI	NZL					MIL			1	035	035	03	1	7.0	10	1	10	2.50447227191414	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20220825134500	https://www.businesstraveller.com/business-travel/2022/08/25/qantas-to-launch-nonstop-auckland-jfk-service/
1060147932	20220726	202207	2022	2022.5644	USA	UNITED STATES	USA								COP	PRISON						COP			1	015	015	01	1	0.0	4	1	4	-8.62068965517241	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20220825134500	https://kstp.com/kstp-news/top-news/ex-minneapolis-officer-derek-chauvin-now-in-federal-custody/
