1060124152	20210825	202108	2021	2021.6438	AFG	AFGHANISTAN	AFG								GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	1	1	1	1.91740412979352	1	Afghanistan	AF	AF		33	66	AF	1	United Kingdom	UK	UK		54	-4	UK	1	Afghanistan	AF	AF		33	66	AF	20220825104500	https://www.gov.uk/government/news/one-year-on-governments-continuing-commitment-to-afghanistan
1060124153	20210825	202108	2021	2021.6438	AFG	AFGHAN	AFG								GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	4	1	4	1.91740412979352	1	Afghanistan	AF	AF		33	66	AF	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220825104500	https://www.gov.uk/government/news/one-year-on-governments-continuing-commitment-to-afghanistan
1060124154	20210825	202108	2021	2021.6438	GBR	UNITED KINGDOM	GBR								AFG	AFGHANISTAN	AFG								0	036	036	03	1	4.0	1	1	1	1.91740412979352	1	United Kingdom	UK	UK		54	-4	UK	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20220825104500	https://www.gov.uk/government/news/one-year-on-governments-continuing-commitment-to-afghanistan
1060124155	20210825	202108	2021	2021.6438	GBR	UNITED KINGDOM	GBR								AFG	AFGHAN	AFG								0	036	036	03	1	4.0	4	1	4	1.91740412979352	1	United Kingdom	UK	UK		54	-4	UK	1	Afghanistan	AF	AF		33	66	AF	1	United Kingdom	UK	UK		54	-4	UK	20220825104500	https://www.gov.uk/government/news/one-year-on-governments-continuing-commitment-to-afghanistan
1060124156	20210825	202108	2021	2021.6438	MMRGOV	MYANMAR	MMR					GOV			GBRELI	UNITED KINGDOM	GBR					ELI			1	173	173	17	4	-5.0	5	1	5	-4.03587443946189	4	Yangon, Yangon, Myanmar	BM	BM17	41840	16.8053	96.1561	-440623	4	Yangon, Yangon, Myanmar	BM	BM17	41840	16.8053	96.1561	-440623	4	Yangon, Yangon, Myanmar	BM	BM17	41840	16.8053	96.1561	-440623	20220825104500	https://www.sbs.com.au/news/article/britains-former-ambassador-to-myanmar-detained-in-yangon-sources-say/szfh23mde
1060124157	20220726	202207	2022	2022.5644	GMB	GAMBIA	GMB								IGOUNOJUDICJ	INTERNATIONAL COURT OF JUSTICE		UNO				IGO	JUD		0	190	190	19	4	-10.0	1	1	1	-8.16479400749063	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	1	United States	US	US		39.828175	-98.5795	US	20220825104500	https://www.rte.ie/news/world/2022/0825/1318671-myanmar-rohingya/
1060124158	20220726	202207	2022	2022.5644	GMB	GAMBIA	GMB								IGOUNOJUDICJ	INTERNATIONAL COURT OF JUSTICE		UNO				IGO	JUD		0	190	190	19	4	-10.0	4	1	4	-8.16479400749063	1	Gambia	GA	GA		13.5	-15.5	GA	1	Gambia	GA	GA		13.5	-15.5	GA	1	Gambia	GA	GA		13.5	-15.5	GA	20220825104500	https://www.rte.ie/news/world/2022/0825/1318671-myanmar-rohingya/
1060124159	20220726	202207	2022	2022.5644	GMB	GAMBIA	GMB								MMR	MYANMAR	MMR								0	115	115	11	3	-2.0	2	1	2	-8.16479400749063	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	4	Kutupalong, Chittagong, Bangladesh	BG	BG84	5772	21.219	92.1643	9254874	20220825104500	https://www.rte.ie/news/world/2022/0825/1318671-myanmar-rohingya/
1060124160	20220726	202207	2022	2022.5644	GMB	GAMBIA	GMB								MMR	MYANMAR	MMR								0	115	115	11	3	-2.0	8	1	8	-8.16479400749063	1	Gambia	GA	GA		13.5	-15.5	GA	1	Gambia	GA	GA		13.5	-15.5	GA	1	Gambia	GA	GA		13.5	-15.5	GA	20220825104500	https://www.rte.ie/news/world/2022/0825/1318671-myanmar-rohingya/
1060124161	20220726	202207	2022	2022.5644	GOV	PRIME MINISTER						GOV													1	036	036	03	1	4.0	4	1	4	0.632911392405063	4	Nadda, Uttaranchal, India	IN	IN39	17910	29.8675	78.5822	6241460	0								4	Nadda, Uttaranchal, India	IN	IN39	17910	29.8675	78.5822	6241460	20220825104500	https://timesofindia.indiatimes.com/india/himachal-pradesh-pm-narendra-modi-to-inaugurate-bilaspur-aiims-next-month/articleshow/93775279.cms
