1060161188	20210825	202108	2021	2021.6438	ITA	ROME	ITA								RUS	RUSSIA	RUS								1	061	061	06	2	6.4	3	1	3	-5.12820512820513	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20220825153000	https://english.alarabiya.net/business/energy/2022/08/25/Italy-to-update-gas-emergency-plan-next-week-Source
1060161189	20220726	202207	2022	2022.5644											GOV	AUTHORITIES						GOV			0	193	193	19	4	-10.0	5	1	5	-0.94228504122497	0								4	Beit Shemesh, Yerushalayim, Israel	IS	IS06	18315	31.7496	34.9888	-779468	4	Beit Shemesh, Yerushalayim, Israel	IS	IS06	18315	31.7496	34.9888	-779468	20220825153000	https://www.ynetnews.com/article/hkimlbrks
1060161190	20220726	202207	2022	2022.5644	TUR	SMYRNA	TUR																		1	045	045	04	1	5.0	10	1	10	-1.29259694477086	4	Smyrna, Izmir, Turkey	TU	TU35	27937	38.4104	27.142	-755097	0								4	Smyrna, Izmir, Turkey	TU	TU35	27937	38.4104	27.142	-755097	20220825153000	https://www.mdjonline.com/news/local/smyrna-hears-proposed-ordinance-for-townhomes/article_2ebc95ec-23c6-11ed-a7b2-9b155a265f61.html
1060161191	20220818	202208	2022	2022.6247	DEU	GERMANY	DEU								BUS	COMPANY						BUS			1	100	100	10	3	-5.0	3	1	3	0.72332730560579	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220825153000	https://www.techradar.com/news/oppo-app-ecosystem-needs-to-grow-before-we-bring-foldables-to-europe
1060161192	20220818	202208	2022	2022.6247	GBR	UNITED KINGDOM	GBR																		0	0874	087	08	2	10.0	2	1	2	2.22222222222222	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20220825153000	https://www.dailymail.co.uk/tvshowbiz/article-11145649/Reading-Leeds-Festival-2022-need-know-ahead-weekend.html
1060161193	20220818	202208	2022	2022.6247	GBR	SCOTLAND	GBR								AUS	PERTH	AUS								1	111	111	11	3	-2.0	10	1	10	-8.97009966777413	4	Perthshire, Perth and Kinross, United Kingdom	UK	UKW1	40177	56.5	-4	-2605284	4	Perthshire, Perth and Kinross, United Kingdom	UK	UKW1	40177	56.5	-4	-2605284	4	Perthshire, Perth and Kinross, United Kingdom	UK	UKW1	40177	56.5	-4	-2605284	20220825153000	https://www.thecourier.co.uk/fp/politics/scottish-politics/3629653/anti-tory-perth-protest/
1060161194	20220818	202208	2022	2022.6247	NGA	NIGERIA	NGA								REB	INSURGENCY						REB			0	042	042	04	1	1.9	5	1	5	-3.73831775700934	4	Lake Chad, Nigeria (general), Nigeria	NI	NI00	190951	13.3285	14.1217	-2003602	4	Lake Chad, Nigeria (general), Nigeria	NI	NI00	190951	13.3285	14.1217	-2003602	4	Lake Chad, Nigeria (general), Nigeria	NI	NI00	190951	13.3285	14.1217	-2003602	20220825153000	https://www.voanews.com/a/cameroon-nigeria-reopening-border-markets-and-schools-with-boko-haram-threat-diminished/6716326.html
1060161195	20220818	202208	2022	2022.6247	REB	INSURGENCY						REB			NGA	NIGERIA	NGA								0	043	043	04	1	2.8	5	1	5	-3.73831775700934	4	Lake Chad, Nigeria (general), Nigeria	NI	NI00	190951	13.3285	14.1217	-2003602	4	Lake Chad, Nigeria (general), Nigeria	NI	NI00	190951	13.3285	14.1217	-2003602	4	Lake Chad, Nigeria (general), Nigeria	NI	NI00	190951	13.3285	14.1217	-2003602	20220825153000	https://www.voanews.com/a/cameroon-nigeria-reopening-border-markets-and-schools-with-boko-haram-threat-diminished/6716326.html
1060161196	20220824	202208	2022	2022.6411	INT	FOREIGN NATIONAL						INT			ZAF	LIMPOPO	ZAF								0	173	173	17	4	-5.0	10	1	10	-8.18713450292401	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20220825153000	https://www.zimbabwesituation.com/news/backlash-as-sa-doctor-belittles-zim-patient/
1060161197	20220824	202208	2022	2022.6411	PAK	PAKISTAN	PAK								GOV	MINIST						GOV			0	190	190	19	4	-10.0	10	1	10	-2.12121212121212	5	Balochistan, Balochistan, Pakistan	PK	PK02	40300	28.4785	65.6436	-2755738	5	Balochistan, Balochistan, Pakistan	PK	PK02	40300	28.4785	65.6436	-2755738	5	Balochistan, Balochistan, Pakistan	PK	PK02	40300	28.4785	65.6436	-2755738	20220825153000	https://arynews.tv/saudi-arabia-assures-full-support-for-flood-hit-pakistan/
