1060060061	20220726	202207	2022	2022.5644	GBR	LONDON	GBR																		1	046	046	04	1	7.0	5	1	5	-0.45351473922903	2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	0								2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	20220825003000	https://www.news-medical.net/news/20220824/Targeting-Na2bK2b-ATPase-alpha-1-proteins-could-help-identify-novel-therapies-for-blood-clots-thrombosis.aspx
1060060062	20220818	202208	2022	2022.6247	BGD	BANGLADESH	BGD								MMR	MYANMAR	MMR								1	042	042	04	1	1.9	5	1	5	-6.02409638554217	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20220825003000	https://www.arabnews.com/node/2149706/world
1060060063	20220818	202208	2022	2022.6247	BGD	BANGLADESH	BGD								MMR	MYANMAR	MMR								1	043	043	04	1	2.8	5	1	5	-6.02409638554217	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20220825003000	https://www.arabnews.com/node/2149706/world
1060060064	20220818	202208	2022	2022.6247	DEUGOV	GERMAN	DEU					GOV													1	010	010	01	1	0.0	3	1	3	-3.82882882882883	1	Israel	IS	IS		31.5	34.75	IS	0								1	Israel	IS	IS		31.5	34.75	IS	20220825003000	https://www.clevelandjewishnews.com/jta/berlin-police-are-investigating-whether-charges-can-be-filed-against-abbas-for-israel-holocausts-comment/article_27fd4fd9-cc3d-51b6-964d-a77055123c3a.html
1060060065	20220818	202208	2022	2022.6247	FRA	FRANCE	FRA								MED	MAGAZINE						MED			1	010	010	01	1	0.0	2	1	2	0.11587485515643	1	Dominican Republic	DR	DR		19	-70.666667	DR	1	Dominican Republic	DR	DR		19	-70.666667	DR	1	Dominican Republic	DR	DR		19	-70.666667	DR	20220825003000	https://www.dailymail.co.uk/tvshowbiz/article-11143667/Demi-Moore-shares-vacation-snap-pampered-pooch-Pilaf-sling-Travel-buddy.html
1060060066	20220818	202208	2022	2022.6247	GOV	PRIME MINISTER						GOV			MED	JOURNALIST						MED			0	010	010	01	1	0.0	10	1	10	-6.11028315946349	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	20220825003000	https://www.aljazeera.com/news/2022/8/24/au-calls-for-peaceful-solution-amid-renewed-fighting-in-tigray
1060060067	20220818	202208	2022	2022.6247	GOV	PRIME MINISTER						GOV			MED	JOURNALIST						MED			0	120	120	12	3	-4.0	2	1	2	-6.11028315946349	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	4	Tigray, Tigray, Ethiopia	ET	ET53	149298	13.5	39.5	-620571	20220825003000	https://www.aljazeera.com/news/2022/8/24/au-calls-for-peaceful-solution-amid-renewed-fighting-in-tigray
1060060068	20220818	202208	2022	2022.6247	ISR	ISRAEL	ISR																		1	110	110	11	3	-2.0	2	1	2	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	0								5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060069	20220818	202208	2022	2022.6247	ISR	ISRAEL	ISR																		1	115	115	11	3	-2.0	4	1	4	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	0								5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060070	20220818	202208	2022	2022.6247	ISR	ISRAEL	ISR								ISRJUD	ISRAEL	ISR					JUD			1	115	115	11	3	-2.0	1	1	1	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
