1060108479	20210825	202108	2021	2021.6438	CHE	SWITZERLAND	CHE																		1	120	120	12	3	-4.0	3	1	3	1.80722891566265	1	Switzerland	SZ	SZ		47	8	SZ	0								1	Switzerland	SZ	SZ		47	8	SZ	20220825083000	https://menafn.com/1104753392/Novartis-Plans-To-Spin-Off-Generics-Division-Sandoz
1060108480	20210825	202108	2021	2021.6438	CHN	CHINA	CHN								TWN	TAIPEI	TWN								1	150	150	15	4	-7.2	1	1	1	-2.38473767885533	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Kinmen, Jinmen Xian, Taiwan	TW	TW13	13009	24.4367	118.318	-2628169	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220825083000	https://www.washingtonpost.com/world/2022/08/25/taiwan-defense-budget-china-military-invasion/
1060108481	20210825	202108	2021	2021.6438	CHN	CHINA	CHN								TWN	TAIWAN	TWN								1	150	150	15	4	-7.2	1	1	1	-2.38473767885533	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Kinmen, Jinmen Xian, Taiwan	TW	TW13	13009	24.4367	118.318	-2628169	4	Kinmen, Jinmen Xian, Taiwan	TW	TW13	13009	24.4367	118.318	-2628169	20220825083000	https://www.washingtonpost.com/world/2022/08/25/taiwan-defense-budget-china-military-invasion/
1060108482	20210825	202108	2021	2021.6438	CHN	CHINA	CHN								TWN	TAIPEI	TWN								1	150	150	15	4	-7.2	5	1	5	-2.38473767885533	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20220825083000	https://www.washingtonpost.com/world/2022/08/25/taiwan-defense-budget-china-military-invasion/
1060108483	20210825	202108	2021	2021.6438	CHN	CHINA	CHN								TWN	TAIPEI	TWN								1	150	150	15	4	-7.2	1	1	1	-2.38473767885533	4	Kinmen, Jinmen Xian, Taiwan	TW	TW13	13009	24.4367	118.318	-2628169	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Kinmen, Jinmen Xian, Taiwan	TW	TW13	13009	24.4367	118.318	-2628169	20220825083000	https://www.washingtonpost.com/world/2022/08/25/taiwan-defense-budget-china-military-invasion/
1060108484	20210825	202108	2021	2021.6438	CHN	CHINA	CHN								TWN	TAIPEI	TWN								1	150	150	15	4	-7.2	2	1	2	-2.38473767885533	4	Kinmen, Jinmen Xian, Taiwan	TW	TW13	13009	24.4367	118.318	-2628169	4	Kinmen, Jinmen Xian, Taiwan	TW	TW13	13009	24.4367	118.318	-2628169	4	Kinmen, Jinmen Xian, Taiwan	TW	TW13	13009	24.4367	118.318	-2628169	20220825083000	https://www.washingtonpost.com/world/2022/08/25/taiwan-defense-budget-china-military-invasion/
1060108485	20210825	202108	2021	2021.6438	LEG	LAWMAKER						LEG			TWN	TAIPEI	TWN								1	042	042	04	1	1.9	8	1	8	-2.38473767885533	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20220825083000	https://www.washingtonpost.com/world/2022/08/25/taiwan-defense-budget-china-military-invasion/
1060108486	20210825	202108	2021	2021.6438	MIL	MILITARY						MIL			TWN	TAIPEI	TWN								1	042	042	04	1	1.9	2	1	2	-2.38473767885533	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20220825083000	https://www.washingtonpost.com/world/2022/08/25/taiwan-defense-budget-china-military-invasion/
1060108487	20210825	202108	2021	2021.6438	SAU	RIYADH	SAU								IRN	TEHRAN	IRN								0	040	040	04	1	1.0	3	1	3	-0.42735042735043	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825083000	https://www.i24news.tv/en/news/middle-east/1661405624-saudi-iran-talks-to-resume-when-iraq-stable-says-iranian-envoy
1060108488	20210825	202108	2021	2021.6438	TWN	TAIPEI	TWN								LEG	LAWMAKER						LEG			1	043	043	04	1	2.8	8	1	8	-2.38473767885533	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20220825083000	https://www.washingtonpost.com/world/2022/08/25/taiwan-defense-budget-china-military-invasion/
1060108489	20210825	202108	2021	2021.6438	TWN	TAIPEI	TWN								MIL	MILITARY						MIL			1	043	043	04	1	2.8	2	1	2	-2.38473767885533	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20220825083000	https://www.washingtonpost.com/world/2022/08/25/taiwan-defense-budget-china-military-invasion/
1060108490	20220726	202207	2022	2022.5644	ISR	ISRAELI	ISR								PSE	WEST BANK	PSE								1	173	173	17	4	-5.0	1	1	1	-8.55614973262032	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	20220825083000	https://www.i24news.tv/en/news/israel/defense/1661406693-west-bank-israeli-soldier-lightly-wounded-in-firefight-near-jenin
