1060062237	20120827	201208	2012	2012.6493	JUD	ATTORNEY						JUD													1	112	112	11	3	-2.0	6	1	6	-4.91228070175438	3	Morgantown, Arizona, United States	US	USAZ	AZ012	33.627	-114.438	42946	0								3	Morgantown, Arizona, United States	US	USAZ	AZ012	33.627	-114.438	42946	20220825004500	https://www.cbsnews.com/pittsburgh/news/rainbow-fentanyl-seized-morgantown/
1060062238	20120827	201208	2012	2012.6493	JUD	ATTORNEY						JUD			USA	UNITED STATES	USA								1	112	112	11	3	-2.0	2	1	2	-4.91228070175438	3	Morgantown, Arizona, United States	US	USAZ	AZ012	33.627	-114.438	42946	3	Morgantown, Arizona, United States	US	USAZ	AZ012	33.627	-114.438	42946	3	Morgantown, Arizona, United States	US	USAZ	AZ012	33.627	-114.438	42946	20220825004500	https://www.cbsnews.com/pittsburgh/news/rainbow-fentanyl-seized-morgantown/
1060062239	20120827	201208	2012	2012.6493	USAJUD	UNITED STATES	USA					JUD			USA	UNITED STATES	USA								1	112	112	11	3	-2.0	2	1	2	-4.91228070175438	3	Morgantown, Arizona, United States	US	USAZ	AZ012	33.627	-114.438	42946	3	Morgantown, Arizona, United States	US	USAZ	AZ012	33.627	-114.438	42946	3	Morgantown, Arizona, United States	US	USAZ	AZ012	33.627	-114.438	42946	20220825004500	https://www.cbsnews.com/pittsburgh/news/rainbow-fentanyl-seized-morgantown/
1060062240	20210825	202108	2021	2021.6438	DEU	GERMANY	DEU								UKR	UKRAINE	UKR								0	033	033	03	1	5.2	1	1	1	-3.4733893557423	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220825004500	https://www.novinite.com/view_news.php?id=216419
1060062241	20210825	202108	2021	2021.6438	DEU	GERMANY	DEU								UKR	UKRAINE	UKR								0	033	033	03	1	5.2	1	1	1	-3.4733893557423	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	20220825004500	https://www.novinite.com/view_news.php?id=216419
1060062242	20210825	202108	2021	2021.6438	DEU	GERMANY	DEU								UKR	UKRAINE	UKR								0	033	033	03	1	5.2	3	1	3	-3.4733893557423	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	4	Kremenchuk, Poltavs'ka Oblast', Ukraine	UP	UP18	28559	49.072	33.4275	-1043663	20220825004500	https://www.novinite.com/view_news.php?id=216419
1060062243	20210825	202108	2021	2021.6438	GOV	MAYOR						GOV													1	120	120	12	3	-4.0	5	1	5	-0.42918454935622	3	Mount Prospect, Illinois, United States	US	USIL	IL031	42.0664	-87.9373	414073	0								3	Mount Prospect, Illinois, United States	US	USIL		42.0664	-87.9373	414073	20220825004500	https://www.dailyherald.com/news/20220824/former-mount-prospect-trustee-hopes-for-return-to-village-board
1060062244	20210825	202108	2021	2021.6438	LEG	LEGISLATURE						LEG			GOV	GOVERNOR						GOV			0	020	020	02	1	3.0	2	1	2	-4.08719346049046	3	Brown County, Wisconsin, United States	US	USWI	WI009	44.4667	-87.9668	1581064	3	Brown County, Wisconsin, United States	US	USWI		44.4667	-87.9668	1581064	3	Brown County, Wisconsin, United States	US	USWI		44.4667	-87.9668	1581064	20220825004500	https://www.wortfm.org/criminal-defense-lawyers-sue-states-public-defender-board-over-lack-of-public-defenders/
1060062245	20210825	202108	2021	2021.6438	LEG	LEGISLATURE						LEG			USA	UNITED STATES	USA								0	020	020	02	1	3.0	8	1	8	-4.08719346049046	3	Brown County, Wisconsin, United States	US	USWI	WI009	44.4667	-87.9668	1581064	3	Brown County, Wisconsin, United States	US	USWI		44.4667	-87.9668	1581064	3	Brown County, Wisconsin, United States	US	USWI		44.4667	-87.9668	1581064	20220825004500	https://www.wortfm.org/criminal-defense-lawyers-sue-states-public-defender-board-over-lack-of-public-defenders/
1060062246	20210825	202108	2021	2021.6438	TUV	TUVALU	TUV																		0	010	010	01	1	0.0	1	1	1	-1.21212121212121	1	Tuvalu	TV	TV		-8	178	TV	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220825004500	https://kelo.com/2022/08/24/tuvalu-minister-says-both-china-u-s-needed-for-climate-change-action/
