1060195664	20210825	202108	2021	2021.6438	GOVEDU	DEPARTMENT OF EDUCATION						GOV	EDU												0	090	090	09	2	-2.0	8	1	8	-1.89098998887653	3	Southlake, Texas, United States	US	USTX	TX439	32.9412	-97.1342	1347589	0								3	Southlake, Texas, United States	US	USTX	TX439	32.9412	-97.1342	1347589	20220825194500	https://www.rockdalenewtoncitizen.com/news/a-north-texas-school-district-says-a-book-chapter-by-its-namesake-about-a-lynching/article_80bd59ee-bf1b-5a20-a90e-4cbaff42de2b.html
1060195665	20210825	202108	2021	2021.6438	GOVEDU	DEPARTMENT OF EDUCATION						GOV	EDU												0	090	090	09	2	-2.0	2	1	2	-1.89098998887653	3	Southlake, Texas, United States	US	USTX	TX439	32.9412	-97.1342	1347589	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20220825194500	https://www.rockdalenewtoncitizen.com/news/a-north-texas-school-district-says-a-book-chapter-by-its-namesake-about-a-lynching/article_80bd59ee-bf1b-5a20-a90e-4cbaff42de2b.html
1060195666	20210825	202108	2021	2021.6438	IRN	IRAN	IRN																		1	186	186	18	4	-10.0	5	1	5	-6.06060606060606	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825194500	https://www.latestly.com/agency-news/world-news-irans-president-faces-legal-complaint-in-new-york-court-for-crimes-against-humanity-4125917.html
1060195667	20220726	202207	2022	2022.5644	COP	PRISON						COP			USA	UNITED STATES	USA								1	015	015	01	1	0.0	2	1	2	-8.8	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20220825194500	https://www.kaaltv.com/news/ex-minneapolis-officer-derek-chauvin-moved-to-arizona-federal-prison/
1060195668	20220726	202207	2022	2022.5644	COP	PRISON						COP			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-8.8	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20220825194500	https://www.kaaltv.com/news/ex-minneapolis-officer-derek-chauvin-moved-to-arizona-federal-prison/
1060195669	20220726	202207	2022	2022.5644	USA	UNITED STATES	USA								COP	PRISON						COP			1	015	015	01	1	0.0	2	1	2	-8.8	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20220825194500	https://www.kaaltv.com/news/ex-minneapolis-officer-derek-chauvin-moved-to-arizona-federal-prison/
1060195670	20220818	202208	2022	2022.6247	CVL	CITIZEN						CVL													1	120	120	12	3	-4.0	5	1	5	-3.83386581469648	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20220825194500	https://www.crainsdetroit.com/politics/michigan-abortion-rights-initiative-should-go-ballot
1060195671	20220824	202208	2022	2022.6411	COP	POLICE						COP			GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	8	1	8	-0.8130081300813	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20220825194500	https://www.thejournal.ie/man-arrested-new-ira-5849745-Aug2022/
1060195672	20220824	202208	2022	2022.6411	COP	POLICE						COP			IRL	IRELAND	IRL								1	090	090	09	2	-2.0	4	1	4	-0.8130081300813	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20220825194500	https://www.thejournal.ie/man-arrested-new-ira-5849745-Aug2022/
1060195673	20220824	202208	2022	2022.6411	COP	POLICE						COP			IRL	IRELAND	IRL								1	090	090	09	2	-2.0	6	1	6	-0.8130081300813	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20220825194500	https://www.thejournal.ie/man-arrested-new-ira-5849745-Aug2022/
