1060189842	20210825	202108	2021	2021.6438											USA	OKLAHOMA	USA								1	112	112	11	3	-2.0	3	1	3	-6.33245382585752	0								3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	3	Manhattan, New York, United States	US	USNY	NY061	40.7834	-73.9662	971945	20220825190000	https://perezhilton.com/home-alone-buzz-devin-ratray-rape-allegation-investigation/
1060189843	20210825	202108	2021	2021.6438	NGA	NIGERIA	NGA								SEP	SEPARATIST						SEP			0	112	112	11	3	-2.0	10	1	10	-4.81927710843373	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	20220825190000	https://www.voanews.com/a/abducted-nigerian-catholic-nuns-are-freed/6716662.html
1060189844	20220726	202207	2022	2022.5644	USA	UNITED STATES	USA																		0	030	030	03	1	4.0	2	1	2	-2.64084507042253	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20220825190000	https://qctimes.com/news/local/reynolds-jobless-rates-to-drop-to-24-year-low-democrats-note-iowans-will-see-reduced/article_60671f82-cbc5-5bee-aefa-ab3bc8a920a9.html
1060189845	20220726	202207	2022	2022.5644	USALAB	IOWA	USA					LAB													0	030	030	03	1	4.0	6	1	6	-2.64084507042253	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20220825190000	https://qctimes.com/news/local/reynolds-jobless-rates-to-drop-to-24-year-low-democrats-note-iowans-will-see-reduced/article_60671f82-cbc5-5bee-aefa-ab3bc8a920a9.html
1060189846	20220726	202207	2022	2022.5644	USALAB	IOWA	USA					LAB			USA	UNITED STATES	USA								0	030	030	03	1	4.0	2	1	2	-2.64084507042253	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20220825190000	https://qctimes.com/news/local/reynolds-jobless-rates-to-drop-to-24-year-low-democrats-note-iowans-will-see-reduced/article_60671f82-cbc5-5bee-aefa-ab3bc8a920a9.html
1060189847	20220818	202208	2022	2022.6247											GHAGOV	GHANA	GHA					GOV			1	040	040	04	1	1.0	4	1	4	-4.76190476190476	0								4	Zongo, Ghana (general), Ghana	GH	GH00	190671	6.2192	0.514669	-2080472	4	Zongo, Ghana (general), Ghana	GH	GH00	190671	6.2192	0.514669	-2080472	20220825190000	https://newsghana.com.gh/no-compensation-for-you-assembly-tells-maamobi-residents/
1060189848	20220818	202208	2022	2022.6247											GOV	PRESIDENT						GOV			1	040	040	04	1	1.0	2	1	2	-4.76190476190476	0								4	Zongo, Ghana (general), Ghana	GH	GH00	190671	6.2192	0.514669	-2080472	4	Zongo, Ghana (general), Ghana	GH	GH00	190671	6.2192	0.514669	-2080472	20220825190000	https://newsghana.com.gh/no-compensation-for-you-assembly-tells-maamobi-residents/
1060189849	20220818	202208	2022	2022.6247											GOV	MAYOR						GOV			1	057	057	05	1	8.0	1	1	1	3.63036303630363	0								3	Great Neck, New York, United States	US	USNY		40.8007	-73.7285	951636	3	Great Neck, New York, United States	US	USNY		40.8007	-73.7285	951636	20220825190000	https://www.clevelandjewishnews.com/jns/great-neck-nassau-county-and-binyamin-regional-council-sign-friendship-declaration/article_2e6b1976-aefd-58b7-ac8b-fe2958cc656d.html
1060189850	20220818	202208	2022	2022.6247											USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	2.19244823386115	0								3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20220825190000	https://www.bentoneveningnews.com/news/20220824/gop-rallies-at-state-fair-to-restore-illinois
1060189851	20220818	202208	2022	2022.6247											USAGOV	UNITED STATES	USA					GOV			1	057	057	05	1	8.0	4	1	4	3.63036303630363	0								3	Great Neck, New York, United States	US	USNY		40.8007	-73.7285	951636	3	Great Neck, New York, United States	US	USNY		40.8007	-73.7285	951636	20220825190000	https://www.clevelandjewishnews.com/jns/great-neck-nassau-county-and-binyamin-regional-council-sign-friendship-declaration/article_2e6b1976-aefd-58b7-ac8b-fe2958cc656d.html
1060189852	20220818	202208	2022	2022.6247	GHA	GHANA	GHA								GOV	PRESIDENT						GOV			1	026	026	02	1	4.0	4	1	4	-4.76190476190476	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20220825190000	https://newsghana.com.gh/no-compensation-for-you-assembly-tells-maamobi-residents/
1060189853	20220818	202208	2022	2022.6247	GHA	GHANA	GHA								GOV	PRESIDENT						GOV			1	040	040	04	1	1.0	4	1	4	-4.76190476190476	4	Zongo, Ghana (general), Ghana	GH	GH00	190671	6.2192	0.514669	-2080472	4	Zongo, Ghana (general), Ghana	GH	GH00	190671	6.2192	0.514669	-2080472	4	Zongo, Ghana (general), Ghana	GH	GH00	190671	6.2192	0.514669	-2080472	20220825190000	https://newsghana.com.gh/no-compensation-for-you-assembly-tells-maamobi-residents/
1060189854	20220818	202208	2022	2022.6247	GHAGOV	GHANA	GHA					GOV													1	026	026	02	1	4.0	4	1	4	-4.76190476190476	4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	0								4	Accra, Greater Accra, Ghana	GH	GH01	190655	5.55	-0.216667	-2067935	20220825190000	https://newsghana.com.gh/no-compensation-for-you-assembly-tells-maamobi-residents/
