1060072726	20210825	202108	2021	2021.6438	GHA	GHANA	GHA								IGOUNODEVWBK	WORLD BANK		UNO				IGO	DEV		1	071	071	07	2	7.4	20	1	20	3.61990950226244	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20220825021500	http://businessghana.com/site/news/general/269344/GHC38m-for-COVID-Response-Grant-Program
1060072727	20210825	202108	2021	2021.6438	USA	UNITED STATES	USA																		1	081	081	08	2	5.0	2	1	2	-0.76335877862595	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	0								1	United States	US	US		39.828175	-98.5795	US	20220825021500	https://www.dnaindia.com/personal-finance/report-rbi-lifts-restriction-on-16-month-old-ban-on-american-express-2979282
1060072728	20220726	202207	2022	2022.5644	IGOEUREEC	EUROPEAN PARLIAMENT	EUR	EEC				IGO			JUD	TRIBUNAL						JUD			0	020	020	02	1	3.0	20	2	20	-5.60650129968015	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220825021500	https://www.rfi.fr/en/international-news/20220825-ukraine-plans-international-court-to-put-putin-on-trial
1060072729	20220726	202207	2022	2022.5644	IRLGOV	MICHEAL MARTIN	IRL					GOV			GOV	MINIST						GOV			0	010	010	01	1	0.0	10	1	10	-0.23923444976077	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220825021500	https://www.offalyexpress.ie/news/national-news/894318/thousands-of-ukrainians-mark-their-independence-day-in-dublin.html
1060072730	20220818	202208	2022	2022.6247	GOV	GOVERNMENT						GOV													0	036	036	03	1	4.0	5	1	5	2.64705882352941	1	Australia	AS	AS		-25	135	AS	0								1	Australia	AS	AS		-25	135	AS	20220825021500	https://www.sheppnews.com.au/national/tech-industry-and-unions-sign-skills-deal/
1060072731	20220818	202208	2022	2022.6247	GOV	GOVERNMENT						GOV			BUS	INDUSTRY						BUS			0	045	045	04	1	5.0	10	1	10	2.64705882352941	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20220825021500	https://www.sheppnews.com.au/national/tech-industry-and-unions-sign-skills-deal/
1060072732	20220818	202208	2022	2022.6247	MEX	MEXICAN	MEX								USA	TEXAS	USA								0	192	192	19	4	-9.5	1	1	1	-7.13324360699865	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20220825021500	https://kvia.com/news/2022/08/24/a-texas-sheriff-says-he-finds-the-bodies-of-migrants-almost-every-day-2022-could-be-the-deadliest-year-yet-for-migrants-crossing-at-the-us-border/
1060072733	20220818	202208	2022	2022.6247	MEX	MEXICO	MEX								USA	UNITED STATES	USA								0	192	192	19	4	-9.5	1	1	1	-7.13324360699865	1	Mexico	MX	MX		23	-102	MX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	1	Mexico	MX	MX		23	-102	MX	20220825021500	https://kvia.com/news/2022/08/24/a-texas-sheriff-says-he-finds-the-bodies-of-migrants-almost-every-day-2022-could-be-the-deadliest-year-yet-for-migrants-crossing-at-the-us-border/
1060072734	20220818	202208	2022	2022.6247	MEX	MEXICO	MEX								USA	UNITED STATES	USA								0	192	192	19	4	-9.5	2	1	2	-7.13324360699865	1	Mexico	MX	MX		23	-102	MX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20220825021500	https://kvia.com/news/2022/08/24/a-texas-sheriff-says-he-finds-the-bodies-of-migrants-almost-every-day-2022-could-be-the-deadliest-year-yet-for-migrants-crossing-at-the-us-border/
1060072735	20220818	202208	2022	2022.6247	MEX	MEXICAN	MEX								USA	TEXAS	USA								0	192	192	19	4	-9.5	4	1	4	-7.13324360699865	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20220825021500	https://kvia.com/news/2022/08/24/a-texas-sheriff-says-he-finds-the-bodies-of-migrants-almost-every-day-2022-could-be-the-deadliest-year-yet-for-migrants-crossing-at-the-us-border/
1060072736	20220824	202208	2022	2022.6411	MED	MEDIA						MED			BUS	INDUSTRY						BUS			1	051	051	05	1	3.4	5	1	5	9.47176684881603	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20220825021500	https://www.thestar.com.my/news/nation/2022/08/25/honouring-property-industrys-finest-talents
1060072737	20220825	202208	2022	2022.6438											AUS	AUSTRALIA	AUS								0	112	112	11	3	-2.0	2	1	2	-6.45161290322581	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20220825021500	https://www.theguardian.com/australia-news/2022/aug/25/robodebt-royal-commission-to-review-centrelink-debt-recovery-scheme
