1060073921	20210825	202108	2021	2021.6438	CRM	THIEVES						CRM			USA	COLORADO	USA								1	130	130	13	3	-4.4	10	1	10	-2.72727272727273	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20220825023000	https://www.thedenverchannel.com/news/contact-denver7/thieves-skimming-cloning-colorado-electronic-benefit-transfer-ebt-cards-to-steal-funds
1060073922	20210825	202108	2021	2021.6438	EDU	STUDENT						EDU			LEG	LAWMAKER						LEG			1	010	010	01	1	0.0	10	1	10	2.27272727272727	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20220825023000	https://alaskapublic.org/author/coryturnernpr/
1060073923	20220726	202207	2022	2022.5644	AUS	AUSTRALIAN	AUS								ISR	ISRAEL	ISR								1	036	036	03	1	4.0	2	1	2	1.17647058823529	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20220825023000	https://www.australianjewishnews.com/covid-force-heads-for-israel/
1060073924	20220726	202207	2022	2022.5644	AUS	AUSTRALIAN	AUS								ISR	ISRAEL	ISR								1	036	036	03	1	4.0	8	1	8	1.17647058823529	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	20220825023000	https://www.australianjewishnews.com/covid-force-heads-for-israel/
1060073925	20220726	202207	2022	2022.5644	GBRGOV	DOWNING STREET	GBR					GOV													1	0831	083	08	2	5.0	10	1	10	-1.13636363636364	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	0								4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220825023000	https://krdo.com/news/national-world/cnn-europe-mideast-africa/2022/08/24/boris-johnson-visits-kyiv-on-ukraines-independence-day/
1060073926	20220726	202207	2022	2022.5644	GBRGOV	DOWNING STREET	GBR					GOV			UKR	UKRAINE	UKR								1	042	042	04	1	1.9	10	1	10	-1.13636363636364	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220825023000	https://krdo.com/news/national-world/cnn-europe-mideast-africa/2022/08/24/boris-johnson-visits-kyiv-on-ukraines-independence-day/
1060073927	20220726	202207	2022	2022.5644	GBRGOV	DOWNING STREET	GBR					GOV			UKR	UKRAINE	UKR								1	043	043	04	1	2.8	2	1	2	-1.13636363636364	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220825023000	https://krdo.com/news/national-world/cnn-europe-mideast-africa/2022/08/24/boris-johnson-visits-kyiv-on-ukraines-independence-day/
1060073928	20220726	202207	2022	2022.5644	ISR	ISRAEL	ISR								AUS	AUSTRALIAN	AUS								1	036	036	03	1	4.0	2	1	2	1.17647058823529	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20220825023000	https://www.australianjewishnews.com/covid-force-heads-for-israel/
1060073929	20220726	202207	2022	2022.5644	ISR	ISRAEL	ISR								AUS	AUSTRALIAN	AUS								1	036	036	03	1	4.0	8	1	8	1.17647058823529	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Hebrew University, Yerushalayim, Israel	IS	IS06	18315	31.7734	35.1981	-781095	20220825023000	https://www.australianjewishnews.com/covid-force-heads-for-israel/
1060073930	20220726	202207	2022	2022.5644	UKR	UKRAINE	UKR								GBRGOV	DOWNING STREET	GBR					GOV			1	042	042	04	1	1.9	1	1	1	-1.13636363636364	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220825023000	https://krdo.com/news/national-world/cnn-europe-mideast-africa/2022/08/24/boris-johnson-visits-kyiv-on-ukraines-independence-day/
1060073931	20220726	202207	2022	2022.5644	UKR	UKRAINE	UKR								GBRGOV	DOWNING STREET	GBR					GOV			1	042	042	04	1	1.9	1	1	1	-1.13636363636364	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220825023000	https://krdo.com/news/national-world/cnn-europe-mideast-africa/2022/08/24/boris-johnson-visits-kyiv-on-ukraines-independence-day/
