1059152291	20210818	202108	2021	2021.6247											AFR	AFRICA	AFR								1	173	173	17	4	-5.0	6	1	6	-14.7982062780269	0								4	Durban Central, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0333	-1224927	4	Durban Central, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0333	-1224927	20220818131500	https://www.georgeherald.com/News/Article/National/latest-july-unrest-development-hawks-arrest-8-more-instigators-202208180237
1059152292	20210818	202108	2021	2021.6247											ZAF	KWAZULU NATAL	ZAF								1	173	173	17	4	-5.0	2	1	2	-14.7982062780269	0								4	Durban Central, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0333	-1224927	4	Durban Central, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0333	-1224927	20220818131500	https://www.georgeherald.com/News/Article/National/latest-july-unrest-development-hawks-arrest-8-more-instigators-202208180237
1059152293	20210818	202108	2021	2021.6247	BUS	BUSINESS						BUS													1	010	010	01	1	0.0	5	1	5	1.02389078498294	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20220818131500	https://www.chicagobusiness.com/juice/citys-new-cannabis-zoning-rules-get-their-first-test
1059152294	20210818	202108	2021	2021.6247	BUS	ENTREPRENEUR						BUS			USA	CHICAGO	USA								1	173	173	17	4	-5.0	10	1	10	1.02389078498294	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20220818131500	https://www.chicagobusiness.com/juice/citys-new-cannabis-zoning-rules-get-their-first-test
1059152295	20210818	202108	2021	2021.6247	LEG	GENERAL ASSEMBLY						LEG			JUD	SUPREME COURT						JUD			0	090	090	09	2	-2.0	10	1	10	-2.63819095477387	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220818131500	https://www.tnledger.com/knoxville/editorial/Article.aspx?id=156522
1059152296	20210818	202108	2021	2021.6247	USA	TENNESSEE	USA								JUD	SUPREME COURT						JUD			0	040	040	04	1	1.0	10	1	10	-2.63819095477387	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220818131500	https://www.tnledger.com/knoxville/editorial/Article.aspx?id=156522
1059152297	20210818	202108	2021	2021.6247	ZAF	NATAL	ZAF								AFR	AFRICA	AFR								1	173	173	17	4	-5.0	2	1	2	-14.7982062780269	4	Durban Central, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0333	-1224927	4	Durban Central, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0333	-1224927	4	Durban Central, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0333	-1224927	20220818131500	https://www.georgeherald.com/News/Article/National/latest-july-unrest-development-hawks-arrest-8-more-instigators-202208180237
1059152298	20220719	202207	2022	2022.5452	AUS	SYDNEY	AUS								SPY	INTELLIGENCE						SPY			1	043	043	04	1	2.8	5	1	5	-4.81283422459893	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Port Botany, New South Wales, Australia	AS	AS02	5073	-33.9667	151.217	39627	4	Port Botany, New South Wales, Australia	AS	AS02	5073	-33.9667	151.217	39627	20220818131500	https://pmnewsnigeria.com/2022/08/18/police-uncover-drugs-worth-675m-hidden-in-marble-stone-slabs/
1059152299	20220719	202207	2022	2022.5452	AUS	AUSTRALIA	AUS								SPY	INTELLIGENCE						SPY			1	043	043	04	1	2.8	2	1	2	-4.81283422459893	4	Port Botany, New South Wales, Australia	AS	AS02	5073	-33.9667	151.217	39627	4	Port Botany, New South Wales, Australia	AS	AS02	5073	-33.9667	151.217	39627	4	Port Botany, New South Wales, Australia	AS	AS02	5073	-33.9667	151.217	39627	20220818131500	https://pmnewsnigeria.com/2022/08/18/police-uncover-drugs-worth-675m-hidden-in-marble-stone-slabs/
1059152300	20220719	202207	2022	2022.5452	GBR	UNITED KINGDOM	GBR								MED	COMMENTATOR						MED			1	043	043	04	1	2.8	1	1	1	0	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20220818131500	https://www.dailystar.co.uk/news/latest-news/meghan-markle-prince-harry-warned-27772466
1059152301	20220719	202207	2022	2022.5452	GOV	ADMINISTRATION						GOV			CHN	CHINA	CHN								1	061	061	06	2	6.4	10	1	10	-0.96153846153847	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220818131500	https://www.nknews.org/2022/08/north-koreas-trade-with-china-jumps-to-highest-level-since-april-covid-outbreak/
