1059140430	20210818	202108	2021	2021.6247	COP	PRISON						COP													1	015	015	01	1	0.0	10	1	10	-0.83612040133779	2	Florida, United States	US	USFL		27.8333	-81.717	FL	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220818114500	https://wusfnews.wusf.usf.edu/health-news-florida/2022-08-18/the-anti-vax-founder-of-americas-frontline-doctors-now-has-a-license-to-practice-in-florida
1059140431	20220719	202207	2022	2022.5452											GBR	UNITED KINGDOM	GBR								1	036	036	03	1	4.0	3	1	3	3.64963503649635	0								4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20220818114500	https://www.ok.co.uk/royal/meghan-harry-plan-marriage-vow-27770595
1059140432	20220811	202208	2022	2022.6055	CZE	CZECH REPUBLIC	CZE								RUS	RUSSIAN	RUS								1	014	014	01	1	0.0	2	1	2	-4.05904059040591	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Czech Republic	EZ	EZ		49.75	15	EZ	1	Czech Republic	EZ	EZ		49.75	15	EZ	20220818114500	https://www.lrt.lt/en/news-in-english/19/1762233/eu-unlikely-to-stop-issuing-visas-for-russian-tourists-official
1059140433	20220811	202208	2022	2022.6055	CZE	CZECH REPUBLIC	CZE								RUS	RUSSIAN	RUS								1	014	014	01	1	0.0	2	1	2	-4.05904059040591	1	Czech Republic	EZ	EZ		49.75	15	EZ	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220818114500	https://www.lrt.lt/en/news-in-english/19/1762233/eu-unlikely-to-stop-issuing-visas-for-russian-tourists-official
1059140434	20220811	202208	2022	2022.6055	CZE	CZECH REPUBLIC	CZE								RUS	RUSSIAN	RUS								1	172	172	17	4	-5.0	2	1	2	-4.05904059040591	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Czech Republic	EZ	EZ		49.75	15	EZ	1	Czech Republic	EZ	EZ		49.75	15	EZ	20220818114500	https://www.lrt.lt/en/news-in-english/19/1762233/eu-unlikely-to-stop-issuing-visas-for-russian-tourists-official
1059140435	20220811	202208	2022	2022.6055	CZE	CZECH REPUBLIC	CZE								RUSCVL	RUSSIAN	RUS					CVL			1	014	014	01	1	0.0	4	1	4	-4.05904059040591	1	Czech Republic	EZ	EZ		49.75	15	EZ	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220818114500	https://www.lrt.lt/en/news-in-english/19/1762233/eu-unlikely-to-stop-issuing-visas-for-russian-tourists-official
1059140436	20220811	202208	2022	2022.6055	CZE	CZECH REPUBLIC	CZE								RUSCVL	RUSSIA	RUS					CVL			1	014	014	01	1	0.0	2	1	2	-4.05904059040591	1	Czech Republic	EZ	EZ		49.75	15	EZ	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Czech Republic	EZ	EZ		49.75	15	EZ	20220818114500	https://www.lrt.lt/en/news-in-english/19/1762233/eu-unlikely-to-stop-issuing-visas-for-russian-tourists-official
1059140437	20220811	202208	2022	2022.6055	CZE	CZECH REPUBLIC	CZE								RUSCVL	RUSSIAN	RUS					CVL			1	172	172	17	4	-5.0	6	1	6	-4.05904059040591	1	Czech Republic	EZ	EZ		49.75	15	EZ	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220818114500	https://www.lrt.lt/en/news-in-english/19/1762233/eu-unlikely-to-stop-issuing-visas-for-russian-tourists-official
1059140438	20220811	202208	2022	2022.6055	ETH	ETHIOPIA	ETH																		0	120	120	12	3	-4.0	8	1	8	-2.23921354451119	4	Gurage, Oromiya, Ethiopia	ET	ET51	47692	9.66667	38.7833	-612608	0								4	Gurage, Oromiya, Ethiopia	ET	ET51	47692	9.66667	38.7833	-612608	20220818114500	https://allafrica.com/stories/202208180365.html
1059140439	20220817	202208	2022	2022.6219											LAB	UNIONS						LAB			1	013	013	01	1	0.4	10	1	10	-4.42477876106195	0								4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220818114500	https://www.iol.co.za/mercury/news/unions-say-this-weeks-dsw-go-slow-in-ethekwini-was-due-to-overtime-hours-being-cut-for-some-staff-f52d1d9c-79e1-4c59-879f-f7a45a0aed4e
1059140440	20220817	202208	2022	2022.6219	AGR	FARMER						AGR			BUS	INDUSTRY						BUS			1	040	040	04	1	1.0	4	1	4	-5.72569906790945	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220818114500	https://www.iol.co.za/mercury/news/major-concern-raised-by-farming-associations-after-ban-on-movement-of-cattle-1f016a41-f86d-4b06-852e-f61c9637e258
1059140441	20220817	202208	2022	2022.6219	AGR	FARMER						AGR			BUS	INDUSTRY						BUS			1	040	040	04	1	1.0	6	1	6	-5.72569906790945	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	20220818114500	https://www.iol.co.za/mercury/news/major-concern-raised-by-farming-associations-after-ban-on-movement-of-cattle-1f016a41-f86d-4b06-852e-f61c9637e258
1059140442	20220817	202208	2022	2022.6219	BUS	INDUSTRY						BUS			AGR	FARMER						AGR			1	012	012	01	1	-0.4	4	1	4	-5.72569906790945	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220818114500	https://www.iol.co.za/mercury/news/major-concern-raised-by-farming-associations-after-ban-on-movement-of-cattle-1f016a41-f86d-4b06-852e-f61c9637e258
1059140443	20220817	202208	2022	2022.6219	BUS	INDUSTRY						BUS			AGR	FARMER						AGR			1	012	012	01	1	-0.4	6	1	6	-5.72569906790945	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	20220818114500	https://www.iol.co.za/mercury/news/major-concern-raised-by-farming-associations-after-ban-on-movement-of-cattle-1f016a41-f86d-4b06-852e-f61c9637e258
1059140444	20220817	202208	2022	2022.6219	BUS	INDUSTRY						BUS			AGR	FARMER						AGR			1	040	040	04	1	1.0	4	1	4	-5.72569906790945	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220818114500	https://www.iol.co.za/mercury/news/major-concern-raised-by-farming-associations-after-ban-on-movement-of-cattle-1f016a41-f86d-4b06-852e-f61c9637e258
1059140445	20220817	202208	2022	2022.6219	BUS	INDUSTRY						BUS			AGR	FARMER						AGR			1	040	040	04	1	1.0	3	1	3	-5.72569906790945	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	20220818114500	https://www.iol.co.za/mercury/news/major-concern-raised-by-farming-associations-after-ban-on-movement-of-cattle-1f016a41-f86d-4b06-852e-f61c9637e258
1059140446	20220817	202208	2022	2022.6219	BUS	INDUSTRY						BUS			AGR	FARMER						AGR			1	040	040	04	1	1.0	3	1	3	-5.72569906790945	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220818114500	https://www.iol.co.za/mercury/news/major-concern-raised-by-farming-associations-after-ban-on-movement-of-cattle-1f016a41-f86d-4b06-852e-f61c9637e258
1059140447	20220817	202208	2022	2022.6219	COP	POLICE CHIEF						COP													1	090	090	09	2	-2.0	1	1	1	-1.41342756183746	4	Tangkak, Johor, Malaysia	MY	MY01	18585	2.2673	102.545	-2405350	0								4	Tangkak, Johor, Malaysia	MY	MY01	18585	2.2673	102.545	-2405350	20220818114500	https://www.malaymail.com/news/malaysia/2022/08/18/obscene-questionnaire-to-female-student-lecturer-not-from-utm-says-vice-chancellor/23468
1059140448	20220817	202208	2022	2022.6219	CVL	RESIDENTS						CVL			LAB	WORKER						LAB			0	111	111	11	3	-2.0	10	1	10	-4.42477876106195	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220818114500	https://www.iol.co.za/mercury/news/unions-say-this-weeks-dsw-go-slow-in-ethekwini-was-due-to-overtime-hours-being-cut-for-some-staff-f52d1d9c-79e1-4c59-879f-f7a45a0aed4e
1059140449	20220817	202208	2022	2022.6219	CVL	RESIDENTS						CVL			LAB	WORKER						LAB			0	112	112	11	3	-2.0	5	1	5	-4.42477876106195	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220818114500	https://www.iol.co.za/mercury/news/unions-say-this-weeks-dsw-go-slow-in-ethekwini-was-due-to-overtime-hours-being-cut-for-some-staff-f52d1d9c-79e1-4c59-879f-f7a45a0aed4e
1059140450	20220817	202208	2022	2022.6219	LAB	WORKER						LAB			AFR	AFRICA	AFR								1	191	191	19	4	-9.5	4	1	4	-4.42477876106195	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220818114500	https://www.iol.co.za/mercury/news/unions-say-this-weeks-dsw-go-slow-in-ethekwini-was-due-to-overtime-hours-being-cut-for-some-staff-f52d1d9c-79e1-4c59-879f-f7a45a0aed4e
1059140451	20220817	202208	2022	2022.6219	LAB	WORKER						LAB			ZAF	DURBAN	ZAF								1	191	191	19	4	-9.5	4	1	4	-4.42477876106195	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220818114500	https://www.iol.co.za/mercury/news/unions-say-this-weeks-dsw-go-slow-in-ethekwini-was-due-to-overtime-hours-being-cut-for-some-staff-f52d1d9c-79e1-4c59-879f-f7a45a0aed4e
1059140452	20220817	202208	2022	2022.6219	MYS	MALAYSIA	MYS								COP	POLICE CHIEF						COP			1	090	090	09	2	-2.0	4	1	4	-1.41342756183746	4	Tangkak, Johor, Malaysia	MY	MY01	18585	2.2673	102.545	-2405350	4	Tangkak, Johor, Malaysia	MY	MY01	18585	2.2673	102.545	-2405350	4	Tangkak, Johor, Malaysia	MY	MY01	18585	2.2673	102.545	-2405350	20220818114500	https://www.malaymail.com/news/malaysia/2022/08/18/obscene-questionnaire-to-female-student-lecturer-not-from-utm-says-vice-chancellor/23468
1059140453	20220818	202208	2022	2022.6247											AFG	AFGHANISTAN	AFG								0	051	051	05	1	3.4	8	1	8	-6.22054665409991	0								1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20220818114500	https://www.japanherald.com/news/272657534/trump-or-rushdie-its-the-debate-of-ideas-that-matters
1059140454	20220818	202208	2022	2022.6247											AFG	AFGHANISTAN	AFG								0	051	051	05	1	3.4	2	1	2	-6.22054665409991	0								1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20220818114500	https://www.japanherald.com/news/272657534/trump-or-rushdie-its-the-debate-of-ideas-that-matters
1059140455	20220818	202208	2022	2022.6247											AFR	AFRICA	AFR								0	020	020	02	1	3.0	1	1	1	-1.23152709359606	0								4	Mtini, Eastern Cape, South Africa	SF	SF05	77321	-31.626	28.2742	-1263792	4	Mtini, Eastern Cape, South Africa	SF	SF05	77321	-31.626	28.2742	-1263792	20220818114500	https://www.iol.co.za/capeargus/news/witness-testifies-that-slain-teacher-allison-plaatjies-helped-her-on-the-day-she-was-killed-72553792-3473-4e8b-b2ba-5d39b526fc24
1059140456	20220818	202208	2022	2022.6247											AFR	AFRICA	AFR								0	042	042	04	1	1.9	4	1	4	-1.23152709359606	0								4	Clanwilliam, Western Cape, South Africa	SF	SF11	77318	-32.1817	18.8922	-1217951	4	Clanwilliam, Western Cape, South Africa	SF	SF11	77318	-32.1817	18.8922	-1217951	20220818114500	https://www.iol.co.za/capeargus/news/witness-testifies-that-slain-teacher-allison-plaatjies-helped-her-on-the-day-she-was-killed-72553792-3473-4e8b-b2ba-5d39b526fc24
1059140457	20220818	202208	2022	2022.6247											ALB	ALBANIA	ALB								1	051	051	05	1	3.4	10	1	10	1.02827763496144	0								4	Korca, Qarku Korce, Albania	AL	AL46	3924	40.6186	20.7808	-105824	4	Korca, Qarku Korce, Albania	AL	AL46	3924	40.6186	20.7808	-105824	20220818114500	https://www.globaltimes.cn/page/202208/1273292.shtml
