1059131649	20120820	201208	2012	2012.6301	GBR	UNITED KINGDOM	GBR																		1	010	010	01	1	0.0	2	1	2	-1.87393526405452	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20220818104500	https://www.couriernews.com/news/national/scientology-churches-urge-action-to-save-lives-from-drug-overdose/article_e6b815cb-a109-5a0a-a3a6-fe9628ce8eb3.html
1059131650	20120820	201208	2012	2012.6301	GBR	UNITED KINGDOM	GBR								EUR	EUROPE	EUR								1	010	010	01	1	0.0	5	1	5	-1.87393526405452	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220818104500	https://www.couriernews.com/news/national/scientology-churches-urge-action-to-save-lives-from-drug-overdose/article_e6b815cb-a109-5a0a-a3a6-fe9628ce8eb3.html
1059131651	20210818	202108	2021	2021.6247	GBR	UNITED KINGDOM	GBR								MED	MEDIA						MED			0	0831	083	08	2	5.0	8	2	8	2.38095238095238	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20220818104500	https://www.yourlocalguardian.co.uk/news/national/20670484.broadcaster-amol-rajan-appointed-new-host-university-challenge/
1059131652	20210818	202108	2021	2021.6247	MED	MEDIA						MED													0	0831	083	08	2	5.0	12	2	12	2.38095238095238	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	0								4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20220818104500	https://www.yourlocalguardian.co.uk/news/national/20670484.broadcaster-amol-rajan-appointed-new-host-university-challenge/
1059131653	20210818	202108	2021	2021.6247	MYS	MALAYSIA	MYS																		1	084	084	08	2	7.0	2	1	2	3.50877192982456	1	Malaysia	MY	MY		2.5	112.5	MY	0								1	Malaysia	MY	MY		2.5	112.5	MY	20220818104500	https://www.themalaysianinsight.com/s/396677
1059131654	20210818	202108	2021	2021.6247	TUR	TURKEY	TUR								ARE	UNITED ARAB EMIRATES	ARE								0	050	050	05	1	3.5	2	1	2	1.57992565055762	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20220818104500	https://jewishinsider.com/2022/08/israel-turkey-relations-yair-lapid-recep-tayyip-erdogan/
1059131655	20210818	202108	2021	2021.6247	TUR	TURKEY	TUR								ARE	UNITED ARAB EMIRATES	ARE								0	050	050	05	1	3.5	6	1	6	1.57992565055762	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	1	United Arab Emirates	AE	AE		24	54	AE	1	Egypt	EG	EG		27	30	EG	20220818104500	https://jewishinsider.com/2022/08/israel-turkey-relations-yair-lapid-recep-tayyip-erdogan/
1059131656	20210818	202108	2021	2021.6247	TUR	TURKEY	TUR								ARE	UNITED ARAB EMIRATES	ARE								0	050	050	05	1	3.5	2	1	2	1.57992565055762	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	1	Saudi Arabia	SA	SA		25	45	SA	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20220818104500	https://jewishinsider.com/2022/08/israel-turkey-relations-yair-lapid-recep-tayyip-erdogan/
1059131657	20210818	202108	2021	2021.6247	TUR	TURKEY	TUR								EGY	EGYPT	EGY								0	050	050	05	1	3.5	2	1	2	1.57992565055762	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20220818104500	https://jewishinsider.com/2022/08/israel-turkey-relations-yair-lapid-recep-tayyip-erdogan/
1059131658	20210818	202108	2021	2021.6247	TUR	TURKEY	TUR								EGY	EGYPT	EGY								0	050	050	05	1	3.5	2	1	2	1.57992565055762	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	1	Egypt	EG	EG		27	30	EG	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20220818104500	https://jewishinsider.com/2022/08/israel-turkey-relations-yair-lapid-recep-tayyip-erdogan/
