1059192851	20210818	202108	2021	2021.6247	BUS	BANK						BUS			GOV	PRESIDENT						GOV			0	043	043	04	1	2.8	10	1	10	-3.30459770114943	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20220818180000	https://www.expressnews.com/business/local/article/San-Antonio-based-USAA-eliminating-more-jobs-17382191.php
1059192852	20210818	202108	2021	2021.6247	CAN	CANADA	CAN								BUS	INVESTOR						BUS			1	010	010	01	1	0.0	4	1	4	5.74324324324324	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20220818180000	https://www.latestly.com/agency-news/india-news-canadian-high-commissioner-meets-yogi-discusses-investment-opportunities-in-up-4097487.html
1059192853	20210818	202108	2021	2021.6247	COP	POLICE						COP			CAN	VANCOUVER	CAN								1	138	138	13	3	-7.0	10	1	10	-6.10169491525424	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20220818180000	https://bc.ctvnews.ca/3-arrested-in-new-westminster-for-pointing-bear-spray-at-girl-1.6032091
1059192854	20210818	202108	2021	2021.6247	GOV	PRESIDENT						GOV			BUS	BANK						BUS			0	042	042	04	1	1.9	10	1	10	-3.30459770114943	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20220818180000	https://www.expressnews.com/business/local/article/San-Antonio-based-USAA-eliminating-more-jobs-17382191.php
1059192855	20210818	202108	2021	2021.6247	IND	LUCKNOW	IND								BUS	INVESTOR						BUS			1	010	010	01	1	0.0	4	1	4	5.74324324324324	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20220818180000	https://www.latestly.com/agency-news/india-news-canadian-high-commissioner-meets-yogi-discusses-investment-opportunities-in-up-4097487.html
1059192856	20220719	202207	2022	2022.5452											ALB	ALBANIAN	ALB								1	173	173	17	4	-5.0	10	1	10	-9.1772151898734	0								1	Albania	AL	AL		41	20	AL	1	Albania	AL	AL		41	20	AL	20220818180000	https://www.gbnews.uk/news/1000-albanian-criminals-and-immigration-offenders-deported-from-uk-this-year/354489
1059192857	20220719	202207	2022	2022.5452	USA	UNITED STATES	USA																		0	036	036	03	1	4.0	4	1	4	0.17574692442882	3	Leesburg, Georgia, United States	US	USGA	GA177	31.7321	-84.1707	356352	0								3	Leesburg, Georgia, United States	US	USGA	GA177	31.7321	-84.1707	356352	20220818180000	https://www.qsrmagazine.com/news/fuzzys-taco-shop-opening-leesburg-georgia
1059192858	20220719	202207	2022	2022.5452	USA	UNITED STATES	USA																		1	111	111	11	3	-2.0	4	1	4	0.17574692442882	3	Leesburg, Georgia, United States	US	USGA	GA177	31.7321	-84.1707	356352	0								3	Leesburg, Georgia, United States	US	USGA	GA177	31.7321	-84.1707	356352	20220818180000	https://www.qsrmagazine.com/news/fuzzys-taco-shop-opening-leesburg-georgia
1059192859	20220811	202208	2022	2022.6055											CUB	CUBA	CUB								1	046	046	04	1	7.0	10	1	10	-3.52422907488987	0								4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20220818180000	https://www.elpasoinc.com/colombian-rebels-say-they-freed-6-soldiers-ahead-of-talks/article_341af318-5ec5-5024-9412-298328df641a.html
1059192860	20220811	202208	2022	2022.6055											CUB	CUBA	CUB								1	046	046	04	1	7.0	20	2	20	-5.625	0								1	Cuba	CU	CU		22	-79.5	CU	1	Cuba	CU	CU		22	-79.5	CU	20220818180000	https://www.sfgate.com/news/article/Colombian-rebels-say-they-freed-6-soldiers-ahead-17382278.php
1059192861	20220811	202208	2022	2022.6055	CAN	CANADA	CAN								COP	POLICE						COP			1	173	173	17	4	-5.0	6	1	6	-6.10169491525424	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20220818180000	https://bc.ctvnews.ca/3-arrested-in-new-westminster-for-pointing-bear-spray-at-girl-1.6032091
1059192862	20220811	202208	2022	2022.6055	CHN	CHINA	CHN																		1	014	014	01	1	0.0	2	1	2	-1.82926829268292	1	Taiwan	TW	TW		24	121	TW	0								1	Taiwan	TW	TW		24	121	TW	20220818180000	https://www.theregister.com/2022/08/18/china_us_relations_chips_act/
1059192863	20220811	202208	2022	2022.6055	CUB	CUBA	CUB																		1	046	046	04	1	7.0	10	1	10	-3.52422907488987	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	0								4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20220818180000	https://www.elpasoinc.com/colombian-rebels-say-they-freed-6-soldiers-ahead-of-talks/article_341af318-5ec5-5024-9412-298328df641a.html
1059192864	20220811	202208	2022	2022.6055	CUB	CUBA	CUB																		1	046	046	04	1	7.0	20	2	20	-5.625	1	Cuba	CU	CU		22	-79.5	CU	0								1	Cuba	CU	CU		22	-79.5	CU	20220818180000	https://www.sfgate.com/news/article/Colombian-rebels-say-they-freed-6-soldiers-ahead-17382278.php
1059192865	20220811	202208	2022	2022.6055	GBR	LONDON	GBR								MNCUSA	BOEING	USA					MNC			1	036	036	03	1	4.0	8	1	8	1.36986301369863	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220818180000	https://london.ctvnews.ca/boeing-flies-into-london-next-week-1.6032451
1059192866	20220811	202208	2022	2022.6055	GBR	LONDON	GBR								MNCUSA	BOEING	USA					MNC			1	042	042	04	1	1.9	8	1	8	1.36986301369863	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220818180000	https://london.ctvnews.ca/boeing-flies-into-london-next-week-1.6032451
