1059144740	20210818	202108	2021	2021.6247											HLH	HOSPITAL						HLH			0	042	042	04	1	1.9	10	1	10	-4.40366972477064	0								4	Mornington, Victoria, Australia	AS	AS07	5405	-38.2167	145.033	-1588943	4	Mornington, Victoria, Australia	AS	AS07	5405	-38.2167	145.033	-1588943	20220818121500	https://www.dailymail.co.uk/news/article-11122841/Dan-Andrews-hits-journalist-injury-care-Victoria-brought-up.html
1059144741	20210818	202108	2021	2021.6247											MWI	MALAWI	MWI								1	190	190	19	4	-10.0	3	1	3	-13	0								1	Malawi	MI	MI		-13.5	34	MI	1	Malawi	MI	MI		-13.5	34	MI	20220818121500	https://www.faceofmalawi.com/2022/08/18/zambian-man-who-killed-malawian-national-last-year-sentenced-to-death-by-hanging/
1059144742	20210818	202108	2021	2021.6247	BUS	COMPANY						BUS													0	111	111	11	3	-2.0	8	1	8	3.55029585798817	3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	0								3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	20220818121500	https://www.prnewswire.com/news-releases/riley-decker-companies-promotes-two-team-members-to-vice-president-of-operations-301608471.html
1059144743	20210818	202108	2021	2021.6247	HLH	HOSPITAL						HLH													0	043	043	04	1	2.8	10	1	10	-4.40366972477064	4	Mornington, Victoria, Australia	AS	AS07	5405	-38.2167	145.033	-1588943	0								4	Mornington, Victoria, Australia	AS	AS07	5405	-38.2167	145.033	-1588943	20220818121500	https://www.dailymail.co.uk/news/article-11122841/Dan-Andrews-hits-journalist-injury-care-Victoria-brought-up.html
1059144744	20210818	202108	2021	2021.6247	IND	KARNATAKA	IND																		1	138	138	13	3	-7.0	8	1	8	0.35714285714286	4	Udaipur, Orissa, India	IN	IN21	70225	20.6167	83.7167	-2113633	0								4	Udaipur, Orissa, India	IN	IN21	70225	20.6167	83.7167	-2113633	20220818121500	https://zeenews.india.com/india/not-bothered-by-dk-shivakumar-makes-big-statement-on-congress-cm-face-in-karnataka-2498716.html
1059144745	20210818	202108	2021	2021.6247	IND	KARNATAKA	IND								INDLEG	KARNATAKA	IND					LEG			1	138	138	13	3	-7.0	2	1	2	0.35714285714286	4	Udaipur, Orissa, India	IN	IN21	70225	20.6167	83.7167	-2113633	4	Udaipur, Orissa, India	IN	IN21	70225	20.6167	83.7167	-2113633	4	Udaipur, Orissa, India	IN	IN21	70225	20.6167	83.7167	-2113633	20220818121500	https://zeenews.india.com/india/not-bothered-by-dk-shivakumar-makes-big-statement-on-congress-cm-face-in-karnataka-2498716.html
1059144746	20210818	202108	2021	2021.6247	THA	THAI	THA								CVL	MIGRANT						CVL			0	173	173	17	4	-5.0	2	1	2	-3.64500792393027	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20220818121500	https://www.irrawaddy.com/news/burma/young-people-clamour-to-leave-myanmar-in-giant-brain-drain.html
1059144747	20210818	202108	2021	2021.6247	THAGOV	THAI	THA					GOV			CVL	MIGRANT						CVL			0	173	173	17	4	-5.0	6	1	6	-3.64500792393027	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20220818121500	https://www.irrawaddy.com/news/burma/young-people-clamour-to-leave-myanmar-in-giant-brain-drain.html
1059144748	20210818	202108	2021	2021.6247	USA	UNITED STATES	USA																		0	160	160	16	4	-4.0	1	1	1	0.61728395061728	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20220818121500	https://www.smithsonianmag.com/smart-news/academy-apologizes-sacheen-littlefeather-who-refused-oscar-on-behalf-of-marlon-brando-180980600/
1059144749	20220719	202207	2022	2022.5452											MOZ	MOZAMBIQUE	MOZ								1	042	042	04	1	1.9	8	1	8	3.73665480427046	0								4	Vilankulo, Inhambane, Mozambique	MZ	MZ03	21870	-22.5964	35.1125	380413	4	Vilankulo, Inhambane, Mozambique	MZ	MZ03	21870	-22.5964	35.1125	380413	20220818121500	https://www.marieclaire.com/celebrity/prince-harry-africa-mozambique-europe/
