1059167813	20120820	201208	2012	2012.6301	IGOUNO	UNITED NATIONS		UNO				IGO			GOV	REGIME						GOV			1	020	020	02	1	3.0	10	1	10	-9.17874396135266	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20220818150000	https://www.tasnimnews.com/en/news/2022/08/18/2759753/iranian-spokesman-urges-west-to-support-rights-of-palestine
1059167814	20120820	201208	2012	2012.6301	IGOUNO	UNITED NATIONS		UNO				IGO			ISR	ISRAEL	ISR								1	111	111	11	3	-2.0	10	1	10	-9.17874396135266	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20220818150000	https://www.tasnimnews.com/en/news/2022/08/18/2759753/iranian-spokesman-urges-west-to-support-rights-of-palestine
1059167815	20210818	202108	2021	2021.6247											AFR	AFRICA	AFR								0	031	031	03	1	5.2	8	1	8	-2.16383307573416	0								4	Winburg, Free State, South Africa	SF	SF03	77326	-28.518	27.0093	-1301648	4	Winburg, Free State, South Africa	SF	SF03	77326	-28.518	27.0093	-1301648	20220818150000	https://www.thecable.ng/living-in-critical-state-the-price-of-a-south-african-towns-dirty-water
1059167816	20210818	202108	2021	2021.6247	AFR	AFRICA	AFR																		0	031	031	03	1	5.2	4	1	4	-2.16383307573416	5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	0								5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	20220818150000	https://www.thecable.ng/living-in-critical-state-the-price-of-a-south-african-towns-dirty-water
1059167817	20210818	202108	2021	2021.6247	AFR	AFRICA	AFR																		0	031	031	03	1	5.2	4	1	4	-2.16383307573416	4	Welkom, Free State, South Africa	SF	SF03	77325	-29.0054	25.6196	-1300215	0								4	Welkom, Free State, South Africa	SF	SF03	77325	-29.0054	25.6196	-1300215	20220818150000	https://www.thecable.ng/living-in-critical-state-the-price-of-a-south-african-towns-dirty-water
1059167818	20210818	202108	2021	2021.6247	CVL	RESIDENTS						CVL			ITA	ITALY	ITA								0	172	172	17	4	-5.0	10	1	10	-2.10772833723653	4	Grand Canal, Veneto, Italy	IT	IT20	18418	45.45	12.3167	-118762	4	Grand Canal, Veneto, Italy	IT	IT20	18418	45.45	12.3167	-118762	4	Grand Canal, Veneto, Italy	IT	IT20	18418	45.45	12.3167	-118762	20220818150000	https://www.nbcnews.com/news/world/venice-grand-canal-tourists-surfing-rcna43687
1059167819	20210818	202108	2021	2021.6247	GBR	UNITED KINGDOM	GBR								BUS	COMPANIES						BUS			1	080	080	08	2	5.0	10	1	10	-0.82304526748972	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220818150000	https://www.energylivenews.com/2022/08/18/industry-calls-for-government-backed-loans-to-ease-energy-bill-pain/
1059167820	20210818	202108	2021	2021.6247	IGOUNOHLHWHO	WORLD HEALTH ORGANIZATION		UNO				IGO	HLH												0	020	020	02	1	3.0	8	1	8	-6.06661379857256	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	0								4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	20220818150000	https://www.dailymail.co.uk/health/article-11123551/WHO-confirms-case-monkeypox-pet-DOG-warns-virus-rapidly-evolve-animals.html
1059167821	20210818	202108	2021	2021.6247	IGOUNOHLHWHO	WORLD HEALTH ORGANIZATION		UNO				IGO	HLH												0	020	020	02	1	3.0	2	1	2	-6.06661379857256	4	Brighton, Brighton and Hove, United Kingdom	UK	UKB6	40137	50.8333	-0.15	-2590884	0								4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	20220818150000	https://www.dailymail.co.uk/health/article-11123551/WHO-confirms-case-monkeypox-pet-DOG-warns-virus-rapidly-evolve-animals.html
1059167822	20210818	202108	2021	2021.6247	JUD	JUDICIARY						JUD			LEG	LAWMAKER						LEG			0	010	010	01	1	0.0	5	1	5	-2.01612903225806	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20220818150000	https://minnesotareformer.com/briefs/online-fee-for-court-documents-postponed-after-lawmakers-fail-to-act/
