1059220803	20210818	202108	2021	2021.6247	EDU	STUDENT						EDU													0	060	060	06	2	6.0	5	1	5	4.71311475409836	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	0								2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20220818220000	https://www.newsandtribune.com/news/iu-cuts-costs-barriers-to-help-more-go-to-college/article_20db6dfc-1f3b-11ed-b710-47782a7fbf39.html
1059220804	20210818	202108	2021	2021.6247	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								0	010	010	01	1	0.0	4	1	4	-1.79028132992327	2	Arkansas, United States	US	USAR		34.9513	-92.3809	AR	2	Arkansas, United States	US	USAR		34.9513	-92.3809	AR	2	Arkansas, United States	US	USAR		34.9513	-92.3809	AR	20220818220000	https://religionnews.com/2022/08/18/arkansas-senator-has-to-unblock-atheist-constituents-on-twitter-and-facebook/
1059220805	20210818	202108	2021	2021.6247	MIL	MILITARY						MIL			USA	UNITED STATES	USA								1	0874	087	08	2	10.0	10	1	10	-3.77358490566038	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20220818220000	https://www.wfnc640am.com/news/ig-report-us-left-military-equipment-in-afghanistan-worth-7b/
1059220806	20220719	202207	2022	2022.5452											IGOUNOHLHWHO	WORLD HEALTH ORGANIZATION		UNO				IGO	HLH		1	012	012	01	1	-0.4	10	1	10	-1.24378109452736	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20220818220000	https://news.yahoo.com/health-officials-confirm-41-monkeypox-205159981.html
1059220807	20220719	202207	2022	2022.5452	BUS	COMPANY						BUS			LAB	EMPLOYEE						LAB			1	172	172	17	4	-5.0	10	1	10	1.05263157894737	0								0								0								20220818220000	https://411mania.com/wrestling/wwe-employees-now-allowed-to-trade-company-stock-again/
1059220808	20220719	202207	2022	2022.5452	LAB	EMPLOYEE						LAB			BUS	COMPANY						BUS			1	172	172	17	4	-5.0	10	1	10	1.05263157894737	0								0								0								20220818220000	https://411mania.com/wrestling/wwe-employees-now-allowed-to-trade-company-stock-again/
1059220809	20220811	202208	2022	2022.6055											ESP	SPANIARD	ESP								1	052	052	05	1	3.5	10	1	10	1.10864745011086	0								4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	20220818220000	https://www.hitc.com/en-gb/2022/08/18/report-rivals-eye-110k-a-week-arsenal-star-recently-offered-to-barcelona/
1059220810	20220811	202208	2022	2022.6055											ESP	SPANIARD	ESP								1	057	057	05	1	8.0	10	1	10	1.10864745011086	0								4	Udine, Friuli-Venezia Giulia, Italy	IT	IT06	18346	46.0619	13.2422	-131482	4	Udine, Friuli-Venezia Giulia, Italy	IT	IT06	18346	46.0619	13.2422	-131482	20220818220000	https://www.hitc.com/en-gb/2022/08/18/report-rivals-eye-110k-a-week-arsenal-star-recently-offered-to-barcelona/
1059220811	20220811	202208	2022	2022.6055	AZEGOV	ILHAM ALIYEV	AZE					GOV			CVL	SETTLEMENT						CVL			1	120	120	12	3	-4.0	5	1	5	-4.64547677261613	4	Artsakh, Azerbaijan (general), Azerbaijan	AJ	AJ00	147321	40	46.5833	335527	4	Artsakh, Azerbaijan (general), Azerbaijan	AJ	AJ00	147321	40	46.5833	335527	4	Artsakh, Azerbaijan (general), Azerbaijan	AJ	AJ00	147321	40	46.5833	335527	20220818220000	https://asbarez.com/u-s-reiterates-need-for-comprehensive-karabakh-conflict-settlement/
1059220812	20220811	202208	2022	2022.6055	GOVBUS	CENTRAL BANK						GOV	BUS												1	010	010	01	1	0.0	10	1	10	-0.53475935828877	4	Karachi, Sindh, Pakistan	PK	PK05	40398	24.8667	67.05	-2764584	0								4	Karachi, Sindh, Pakistan	PK	PK05	40398	24.8667	67.05	-2764584	20220818220000	https://www.geo.tv/latest/434570-sigh-of-relief-foreign-exchange-reserves-rise-by-67m
