1059218771	20210818	202108	2021	2021.6247	GOVHLH	HEALTH DEPARTMENT						GOV	HLH												0	010	010	01	1	0.0	6	1	6	-0.75046904315197	3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	0								3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	20220818214500	https://gothamist.com/news/nyc-demolishing-dozens-of-outdoor-dining-sheds-as-city-leaders-fashion-permanent-program
1059218772	20210818	202108	2021	2021.6247	GOVHLH	HEALTH DEPARTMENT						GOV	HLH												0	010	010	01	1	0.0	4	1	4	-0.75046904315197	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220818214500	https://gothamist.com/news/nyc-demolishing-dozens-of-outdoor-dining-sheds-as-city-leaders-fashion-permanent-program
1059218773	20210818	202108	2021	2021.6247	MOS	ISLAMIC				MOS															0	071	071	07	2	7.4	4	1	4	-4.61538461538462	4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	0								4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	20220818214500	https://www.washingtonpost.com/world/2022/08/18/faq-islamic-state-khorasan-afghanistan-taliban/
1059218774	20210818	202108	2021	2021.6247	MOS	ISLAMIC				MOS															0	071	071	07	2	7.4	1	1	1	-4.61538461538462	5	Nangahar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	0								5	Nangahar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	20220818214500	https://www.washingtonpost.com/world/2022/08/18/faq-islamic-state-khorasan-afghanistan-taliban/
1059218775	20210818	202108	2021	2021.6247	MOS	ISLAMIC				MOS															0	090	090	09	2	-2.0	4	1	4	-4.61538461538462	4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	0								4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	20220818214500	https://www.washingtonpost.com/world/2022/08/18/faq-islamic-state-khorasan-afghanistan-taliban/
1059218776	20210818	202108	2021	2021.6247	MOS	ISLAMIC				MOS															0	090	090	09	2	-2.0	1	1	1	-4.61538461538462	5	Nangahar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	0								5	Nangahar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	20220818214500	https://www.washingtonpost.com/world/2022/08/18/faq-islamic-state-khorasan-afghanistan-taliban/
1059218777	20210818	202108	2021	2021.6247	MOS	ISLAMIC				MOS					AFG	KABUL	AFG								0	0874	087	08	2	10.0	10	1	10	-4.61538461538462	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20220818214500	https://www.washingtonpost.com/world/2022/08/18/faq-islamic-state-khorasan-afghanistan-taliban/
1059218778	20210818	202108	2021	2021.6247	MOSGOV	ISLAMIC				MOS		GOV													0	111	111	11	3	-2.0	5	1	5	-4.61538461538462	5	Nangahar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	0								5	Nangahar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	20220818214500	https://www.washingtonpost.com/world/2022/08/18/faq-islamic-state-khorasan-afghanistan-taliban/
1059218779	20210818	202108	2021	2021.6247	MOSGOV	ISLAMIC				MOS		GOV			AFGINSTAL	TALIBAN	AFG	TAL				INS			0	111	111	11	3	-2.0	5	1	5	-4.61538461538462	5	Nangahar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	5	Nangahar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	5	Nangahar, Nangarhar, Afghanistan	AF	AF18	99928	34.3333	70.4167	-3385101	20220818214500	https://www.washingtonpost.com/world/2022/08/18/faq-islamic-state-khorasan-afghanistan-taliban/
1059218780	20210818	202108	2021	2021.6247	USA	UNITED STATES	USA																		1	115	115	11	3	-2.0	2	2	2	-2.13178294573644	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	0								3	Great Lakes, Michigan, United States	US	USMI		45.6875	-84.4375	1783507	20220818214500	https://www.myjournalcourier.com/news/article/Judge-retains-jurisdiction-in-lawsuit-over-17382909.php
1059218781	20210818	202108	2021	2021.6247	USA	UNITED STATES	USA																		1	115	115	11	3	-2.0	4	3	4	-2.07940498638173	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20220818214500	https://www.myjournalcourier.com/news/article/Judge-retains-jurisdiction-in-lawsuit-over-17382909.php
1059218782	20220719	202207	2022	2022.5452											UKR	UKRAINE	UKR								0	032	032	03	1	4.5	10	1	10	0	0								4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220818214500	https://www.batimes.com.ar/news/world/imf-ukraine-talks-to-be-overseen-by-veteran-argentina-negotiator.phtml
1059218783	20220719	202207	2022	2022.5452	AFG	AFGHAN	AFG																		0	172	172	17	4	-5.0	8	1	8	-4.61538461538462	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20220818214500	https://www.washingtonpost.com/world/2022/08/18/faq-islamic-state-khorasan-afghanistan-taliban/
1059218784	20220719	202207	2022	2022.5452	AFG	AFGHAN	AFG																		0	172	172	17	4	-5.0	2	1	2	-4.61538461538462	1	Uzbekistan	UZ	UZ		41.707542	63.84911	UZ	0								1	Uzbekistan	UZ	UZ		41.707542	63.84911	UZ	20220818214500	https://www.washingtonpost.com/world/2022/08/18/faq-islamic-state-khorasan-afghanistan-taliban/
1059218785	20220719	202207	2022	2022.5452	BEL	BELGIUM	BEL								ISR	ISRAEL	ISR								0	071	071	07	2	7.4	1	1	1	-3.29489291598023	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Ireland	EI	EI		53	-8	EI	1	France	FR	FR		46	2	FR	20220818214500	https://www.jewishpress.com/news/eye-on-palestine/pflp/israel-ratifies-decision-to-designate-three-ngos-as-terror-organizations/2022/08/18/
1059218786	20220719	202207	2022	2022.5452	DEU	GERMANY	DEU								ISR	ISRAEL	ISR								0	071	071	07	2	7.4	1	1	1	-3.29489291598023	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Ireland	EI	EI		53	-8	EI	1	France	FR	FR		46	2	FR	20220818214500	https://www.jewishpress.com/news/eye-on-palestine/pflp/israel-ratifies-decision-to-designate-three-ngos-as-terror-organizations/2022/08/18/
1059218787	20220719	202207	2022	2022.5452	DNK	DENMARK	DNK								ISR	ISRAEL	ISR								0	071	071	07	2	7.4	1	1	1	-3.29489291598023	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Ireland	EI	EI		53	-8	EI	1	France	FR	FR		46	2	FR	20220818214500	https://www.jewishpress.com/news/eye-on-palestine/pflp/israel-ratifies-decision-to-designate-three-ngos-as-terror-organizations/2022/08/18/
1059218788	20220719	202207	2022	2022.5452	ESP	SPAIN	ESP								ISR	ISRAEL	ISR								0	071	071	07	2	7.4	1	1	1	-3.29489291598023	1	Belgium	BE	BE		50.833333	4	BE	1	Ireland	EI	EI		53	-8	EI	1	France	FR	FR		46	2	FR	20220818214500	https://www.jewishpress.com/news/eye-on-palestine/pflp/israel-ratifies-decision-to-designate-three-ngos-as-terror-organizations/2022/08/18/
1059218789	20220719	202207	2022	2022.5452	FRA	FRANCE	FRA								ISR	ISRAEL	ISR								0	071	071	07	2	7.4	1	1	1	-3.29489291598023	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Ireland	EI	EI		53	-8	EI	1	France	FR	FR		46	2	FR	20220818214500	https://www.jewishpress.com/news/eye-on-palestine/pflp/israel-ratifies-decision-to-designate-three-ngos-as-terror-organizations/2022/08/18/
1059218790	20220719	202207	2022	2022.5452	GBR	UNITED KINGDOM	GBR								GOVMED	TRANSPORT MINIST						GOV	MED		1	111	111	11	3	-2.0	2	1	2	-2.70758122743683	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220818214500	https://www.telegraph.co.uk/politics/2022/08/18/jeremy-corbyn-joins-rail-picket-line-black-eye-jogging-accident/
1059218791	20220719	202207	2022	2022.5452	GOVMED	TRANSPORT MINIST						GOV	MED												1	111	111	11	3	-2.0	3	1	3	-2.70758122743683	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20220818214500	https://www.telegraph.co.uk/politics/2022/08/18/jeremy-corbyn-joins-rail-picket-line-black-eye-jogging-accident/
1059218792	20220719	202207	2022	2022.5452	IRL	IRELAND	IRL								ISR	ISRAEL	ISR								0	071	071	07	2	7.4	1	1	1	-3.29489291598023	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Ireland	EI	EI		53	-8	EI	1	France	FR	FR		46	2	FR	20220818214500	https://www.jewishpress.com/news/eye-on-palestine/pflp/israel-ratifies-decision-to-designate-three-ngos-as-terror-organizations/2022/08/18/
1059218793	20220719	202207	2022	2022.5452	ITA	ITALY	ITA								ISR	ISRAEL	ISR								0	071	071	07	2	7.4	1	1	1	-3.29489291598023	1	Belgium	BE	BE		50.833333	4	BE	1	Ireland	EI	EI		53	-8	EI	1	France	FR	FR		46	2	FR	20220818214500	https://www.jewishpress.com/news/eye-on-palestine/pflp/israel-ratifies-decision-to-designate-three-ngos-as-terror-organizations/2022/08/18/
1059218794	20220719	202207	2022	2022.5452	NLD	THE NETHERLAND	NLD								ISR	ISRAEL	ISR								0	071	071	07	2	7.4	1	1	1	-3.29489291598023	1	Belgium	BE	BE		50.833333	4	BE	1	Ireland	EI	EI		53	-8	EI	1	France	FR	FR		46	2	FR	20220818214500	https://www.jewishpress.com/news/eye-on-palestine/pflp/israel-ratifies-decision-to-designate-three-ngos-as-terror-organizations/2022/08/18/
