1059142565	20210818	202108	2021	2021.6247	CVL	HUNTER						CVL													0	070	070	07	2	7.0	5	1	5	0.11074197120709	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20220818120000	https://epnewswire.com/stories/564768287-delaware-natural-resources-and-environmental-control-additional-delaware-hunting-seasons-open-in-november
1059142566	20210818	202108	2021	2021.6247	SAU	SAUDI ARABIA	SAU																		0	173	173	17	4	-5.0	2	1	2	-3.08483290488432	4	Jeddah, Makkah, Saudi Arabia	SA	SA14	25312	21.5169	39.2192	-3096108	0								4	Jeddah, Makkah, Saudi Arabia	SA	SA14	25312	21.5169	39.2192	-3096108	20220818120000	https://original.antiwar.com/Brett_Wilkins/2022/08/17/saudi-arabias-enablers-condemned-as-woman-sentenced-to-34-years-for-tweets/
1059142567	20210818	202108	2021	2021.6247	TCDGOV	IDRISS DEBY	TCD					GOV			GOV	INTERIM PRESIDENT						GOV			1	190	190	19	4	-10.0	8	1	8	-4.3613707165109	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20220818120000	https://wsau.com/2022/08/18/exiled-rebel-leader-returns-to-chad-for-national-talks/
1059142568	20210818	202108	2021	2021.6247	USACVL	RICHMOND	USA					CVL													1	120	120	12	3	-4.0	10	1	10	-0.649350649350651	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	0								4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20220818120000	https://wtop.com/virginia/2022/08/casino-referendum-wont-be-on-richmond-ballots-in-november/
1059142569	20220719	202207	2022	2022.5452											JAM	JAMAICA	JAM								1	180	180	18	4	-9.0	10	1	10	-14.070351758794	0								0								0								20220818120000	http://theforumnewsgroup.com/2022/08/18/third-person-charged-in-bus-attack/
1059142570	20220719	202207	2022	2022.5452	CHNGOV	CHINA	CHN					GOV			GOV	STATE LEADER						GOV			1	130	130	13	3	-4.4	2	1	2	0.96367679762787	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220818120000	https://freebeacon.com/biden-administration/whatever-you-need-how-hunter-biden-helped-the-ccps-premier-influence-group-gain-a-us-foothold/
1059142571	20220719	202207	2022	2022.5452	CVL	HUNTER						CVL			GOV	STATE LEADER						GOV			1	130	130	13	3	-4.4	8	1	8	0.96367679762787	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220818120000	https://freebeacon.com/biden-administration/whatever-you-need-how-hunter-biden-helped-the-ccps-premier-influence-group-gain-a-us-foothold/
1059142572	20220719	202207	2022	2022.5452	NGA	LAGOS	NGA								AFR	AFRICA	AFR								1	071	071	07	2	7.4	10	1	10	-4.45205479452055	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20220818120000	https://www.iol.co.za/travel/africa/emirates-to-suspend-nigeria-flights-from-september-9f8435cb-e949-55ee-a9ba-311624b64ff9
1059142573	20220719	202207	2022	2022.5452	NGA	LAGOS	NGA								CVL	REPATRIATE						CVL			1	160	160	16	4	-4.0	6	1	6	-4.45205479452055	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20220818120000	https://www.iol.co.za/travel/africa/emirates-to-suspend-nigeria-flights-from-september-9f8435cb-e949-55ee-a9ba-311624b64ff9
1059142574	20220719	202207	2022	2022.5452	NGA	LAGOS	NGA								CVL	REPATRIATE						CVL			1	160	160	16	4	-4.0	4	1	4	-4.45205479452055	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20220818120000	https://www.iol.co.za/travel/africa/emirates-to-suspend-nigeria-flights-from-september-9f8435cb-e949-55ee-a9ba-311624b64ff9
